Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
BellaDati,https://www.crunchbase.com/organization/belladati,"Data and Analytics, Software, Financial Services, Mobile","Chicago, Illinois, United States",BellaDati is a producer of an agile analytic and reporting big data tool that reinvents the way business users interact with business data.,"21,018",Operating,12/19/2012,,8,http://www.belladati.com,http://twitter.com/belladati,http://www.facebook.com/belladati,http://www.linkedin.com/company/belladati,support@belladati.com,,"B2B, Insurance, Web Development, Big Data, Analytics, Mobile, Software",1,11-50,12/15/2012,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",,0.5,0.1,-0.5
BindHQ,https://www.crunchbase.com/organization/bindhq,"Software, Internet Services, Financial Services","Tustin, California, United States",Cloud based agency management & CRM tool,"41,325",Operating,07/15/2012,,,http://www.bindhq.com,,,,,,"Cloud Computing, Insurance, SaaS, Web Development, Finance, FinTech",,1-10,01/01/2012,"$500,000","$500,000","$500,000","$500,000",1,0.6,0.6,-0.2
BlueStone Securities,https://www.crunchbase.com/organization/bluestone-securities,"Internet Services, Financial Services","Nanshan, Hunan, China",On-line security broker for cross-border investments,"35,363",Operating,01/16/2015,,,http://www.bluestonehk.com/,,,,,+1 (400) 018-2382,"Internet, Insurance, Financial Services",,,03/15/2015,"$1,000,000","$1,000,000","$1,000,000","$1,000,000",1,0.1,-0.2,-0.3
Certrax,https://www.crunchbase.com/organization/certrax,"Apps, Software, Financial Services",,"Through its web application and service team, Certrax Risk Compliance Solutions, Inc.","82,695",Operating,01/01/2016,,,https://www.certrax.com/,,,,,,"Insurance, Risk Management, Web Apps",,,04/29/2016,,,,,1,-0.3,-0.1,-0.3
Clark,https://www.crunchbase.com/organization/clark-2,"Software, Financial Services","Berlin, Berlin, Germany","Clark is an insurance platform providing transparent, cheap and comprehensive insurance cover.","30,595",Operating,06/01/2015,,4,https://www.clark.de,https://twitter.com/ClarkGermany,https://www.facebook.com/ClarkGermany,https://www.linkedin.com/company/clark-germany,info@clark.de,+49305770295789,"Insurance, Software",4,11-50,08/02/2016,"€13,200,000","€13,200,000","$14,748,603","$14,748,603",14,0.1,0.0,-0.5
Cloud Your Car,https://www.crunchbase.com/organization/cloud-your-car,"Hardware, Consumer Electronics, Software, Transportation, Internet Services, Financial Services","Wroclaw, Dolnoslaskie, Poland",Cloud Your Car is a cloud based car fleet managements platform.,"19,269",Operating,06/01/2012,,,http://www.cloudyourcar.com,http://twitter.com/CloudYourCar,http://www.facebook.com/CloudYourCar,http://www.linkedin.com/company/cloud-your-car,hello@cloudyourcar.com,,"Automotive, Consumer Electronics, Insurance, Enterprise Software, Internet of Things, Fleet Management",2,11-50,12/20/2015,,,"$450,000","$450,000",2,0.2,0.1,-0.3
ConfiaNet,https://www.crunchbase.com/organization/confianet,"Software, Financial Services","São Paulo, Sao Paulo, Brazil",Guarantee your money back if you don't receive what you purchased in a certified e-commerce.,"44,466",Operating,09/01/2014,,1,https://www.confianet.com.br,https://twitter.com/confianetbr,https://www.facebook.com/confianetbr,https://www.linkedin.com/company/confianet-brasil,contato@confianet.com.br,,"Insurance, Software",1,1-10,12/12/2014,"$700,000","$700,000","$700,000","$700,000",,-0.2,-0.4,-0.4
Corax,https://www.crunchbase.com/organization/corax-cyber-security,"Information Technology, Data and Analytics, Software, Privacy and Security, Financial Services","San Francisco, California, United States","Cyber risk analytics solution for security, compliance & insurance.","12,407",Operating,08/01/2013,,,http://coraxcyber.com,http://twitter.com/coraxcyber,,http://www.linkedin.com/company/corax-cyber-security,info@coraxcyber.com,(415)233-8402,"Security, Insurance, Cyber Security, Enterprise Software, Analytics",1,11-50,09/30/2016,"$950,000","$950,000","$3,435,000","$3,435,000",,-0.1,-0.3,-0.7
Cover,https://www.crunchbase.com/organization/cover-5,"Apps, Software, Financial Services","Toronto, Ontario, Canada",Cover Insure anything in a snap!,"12,539",Operating,01/01/2014,,,http://www.usecover.com/,https://twitter.com/usecover,https://www.facebook.com/usecover,,hello@usecover.com,,"Insurance, Apps",,,11/21/2015,"$120,000","$120,000","$120,000","$120,000",3,-0.1,-0.4,-0.4
Denim,https://www.crunchbase.com/organization/denim,"Software, Financial Services","Des Moines, Iowa, United States",We're building Denim™ – the future of insurance and financial services. Visit denimlabs.com for news about our upcoming launch!,"80,368",Operating,10/15/2015,,,http://denimlabs.com,http://twitter.com/denimlabs,http://facebook.com/denimlabsinc,http://linkedin.com/company/denim-labs,info@denimlabs.com,(888)403-3646,"Insurance, Software, Financial Services",1,1-10,,,,,,,-0.3,-0.8,-0.9
Denventory,https://www.crunchbase.com/organization/denventory,"Software, Financial Services","Van Buren, Arkansas, United States",Denventory is an easy to use web application for creating and maintaining a home inventory.,,Operating,05/11/2012,,1,http://www.denventory.com,http://twitter.com/denventory,http://www.facebook.com/denventory,,info@denventory.com,,"Insurance, Software",,1-10,,,,,,,-0.6,-1.4,-1.3
DreamQuark,https://www.crunchbase.com/organization/dreamquark,"Science and Engineering, Data and Analytics, Software, Health Care, Financial Services","Paris, Ile-de-France, France",DreamQuark develops cognitive technologies for insurance and healthcare,"57,459",Operating,03/24/2014,,,http://www.dreamquark.com,http://twitter.com/DreamQuark,http://www.facebook.com/dreamquark,,contact@dreamquark.com,,"Health Insurance, Insurance, FinTech, Health Care, Artificial Intelligence",1,1-10,,,,,,,-0.2,-0.2,-0.2
Driveway,https://www.crunchbase.com/organization/driveway-software,"Platforms, Data and Analytics, Software, Transportation, Financial Services, Mobile","San Mateo, California, United States",Our team is on a mission to make roads safer.,"5,563",Operating,01/01/2011,,11,http://driveway.ai,http://twitter.com/drivewayinc,http://www.facebook.com/drivewaysoft,http://www.linkedin.com/company/driveway-software,info@driveway.ai,(888) 895-1567,"Android, Automotive, Insurance, Analytics, Mobile",2,11-50,07/31/2015,"$10,000,000","$10,000,000","$11,625,000","$11,625,000",4,-0.1,-0.1,-0.4
"DropIn, Inc",https://www.crunchbase.com/organization/dropin-inc,"Commerce and Shopping, Media and Entertainment, Internet Services, Video, Content and Publishing, Financial Services, Mobile","Los Angeles, California, United States",DropIn is a full service video platform allowing individuals to perform surveillance via their mobile device.,"46,035",Operating,05/01/2015,,6,http://www.dropininc.com,https://twitter.com/dropininc,https://www.facebook.com/dropininc,https://www.linkedin.com/company/dropin-inc,,,"Video on Demand, Video Streaming, B2B, Internet, Video, Insurance, E-Commerce, Internet of Things, Mobile",1,11-50,,,,,,,0.0,-0.3,-0.4
Dynamis Software,https://www.crunchbase.com/organization/dynamis-software,"Software, Financial Services","Milwaukee, Wisconsin, United States",Dynamis Software Corporation provides CDHC plan optimization tools for health insurance brokers.,"11,508",Operating,01/01/2012,,6,http://dynamiscorp.com,,,https://www.linkedin.com/company/dynamis-software,support@dynamiscorp.com,(877)511-7944,"Health Insurance, Insurance, Software",,11-50,05/01/2016,"$529,071","$529,071","$2,629,071","$4,169,071",1,0.2,-0.2,-0.2
Elafris Inc,https://www.crunchbase.com/organization/elafris-inc,"Information Technology, Internet Services, Financial Services, Lending and Investments, Messaging and Telecommunications","San Francisco, California, United States",Pioneering artificial intelligence messaging for insurance and banking.,"63,727",Operating,04/01/2016,,2,http://www.elafris.com,,,,info@elafris.com,(310)404-1957,"Messaging, Insurance, Banking",2,11-50,,,,,,,-0.3,-0.4,-0.7
Embroker,https://www.crunchbase.com/organization/embroker,"Software, Financial Services","San Francisco, California, United States",Business Insurance the Way it Should Be,"2,059",Operating,01/01/2015,,11,http://www.embroker.com,https://twitter.com/embroker,https://www.facebook.com/embroker,https://www.linkedin.com/company/embroker,info@embroker.com,(844)436-2765,"Small and Medium Businesses, Insurance, Risk Management, Enterprise Software",3,11-50,05/17/2016,"$12,200,000","$12,200,000","$14,400,000","$14,400,000",8,-0.3,-1.0,-0.8
Evervize,https://www.crunchbase.com/organization/evervize,"Platforms, Information Technology, Software, Sales and Marketing, Financial Services, Mobile","Sunset Beach, California, United States",Evervize is a software company develops Client Management Software for Financial Services Professionals.,,Operating,10/07/2011,,,http://www.evervize.com,http://twitter.com/evervize,http://www.facebook.com/Evervize,http://www.linkedin.com/company/evervize,ryan@evervize.com,949-385-2017,"iOS, CRM, Insurance, Finance, Financial Services",2,1-10,,,,,,,-0.5,-0.2,-1.1
EverythingBenefits,https://www.crunchbase.com/organization/everythingbenefits,"Information Technology, Software, Financial Services","New Providence, New Jersey, United States","EverythingBenefits™ is Your Hub for Health, Voluntary & Wellness Products and Services","25,205",Operating,04/15/2015,,,http://www.everythingbenefits.com,https://twitter.com/evthingbenefits,https://www.facebook.com/everythingbenefits,https://www.linkedin.com/company/everythingbenefits,bizdev@everythingbenefits.com,(800)689-3568,"Health Insurance, Insurance, Business Information Systems, Enterprise Software",4,11-50,05/01/2015,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",,-0.4,-0.2,-0.3
EvoSure,https://www.crunchbase.com/organization/evosure,"Software, Financial Services","Austin, Texas, United States","EvoSure matches underwriter appetites with broker opportunities. More business, better relationships.","80,920",Was Acquired,09/01/2012,10/19/2015,1,https://evosure.com/go/crunchbase/,http://twitter.com/evosure,http://www.facebook.com/evosure,http://www.linkedin.com/company/evosure,support@evsr.com,,"Insurance, Finance, FinTech, Software",2,11-50,,,,,,,-0.2,-0.3,-0.3
"eXcediant, LLC",https://www.crunchbase.com/organization/excediant-llc,"Information Technology, Software, Sales and Marketing, Financial Services","Jacksonville, Florida, United States",eXceeding customer expectations by building great software.,,Operating,01/01/2015,,,http://www.eXcediant.com,https://twitter.com/excediant,http://www.facebook.com/excediant,,,800-473-2490,"CRM, Insurance, Enterprise Software",2,11-50,,,,,,,-0.5,1.0,0.0
FinanceFox,https://www.crunchbase.com/organization/financefox,"Apps, Software, Financial Services, Mobile","Berlin, Berlin, Germany",FinanceFox is an early stage start-up that offers insurance brokerage processes online.,"1,686",Operating,01/01/2014,,10,https://www.financefox.com,https://twitter.com/financefox,,https://www.linkedin.com/company/financefox,service@financefox.de,+4903031199241,"Insurance, Mobile Apps, FinTech",5,51-100,09/20/2016,"$28,000,000","$28,000,000","$33,500,000","$33,500,000",9,0.3,-2.4,-3.2
Fixt,https://www.crunchbase.com/organization/peachme,"Information Technology, Software, Financial Services","Baltimore, Maryland, United States","Fixt is the most efficient, immediate, secure way for corporate IT managers and individual consumers to replace broken phones and tablets","12,571",Operating,04/01/2013,,3,http://www.fixt.co,http://twitter.com/DropBotbyFixt,,https://www.linkedin.com/company/asurvest-inc-,info@fixt.co,(585)376-7268,"Insurance, Information Technology, Software, Financial Services",2,1-10,03/26/2016,"$600,000","$600,000","$2,050,000","$2,050,000",16,-0.2,-0.3,-0.9
Founder Shield,https://www.crunchbase.com/organization/founder-shield,"Internet Services, Financial Services","New York, New York, United States",Founder Shield was created with one goal: to take the stress out of buying insurance for venture-backed startup companies.,"43,015",Operating,01/01/2012,,4,http://foundershield.com,http://twitter.com/FounderShield,http://www.facebook.com/foundershield,http://www.linkedin.com/company/founder-shield,team@foundershield.com,(646) 760-2053,"Internet, Insurance",3,1-10,01/01/2012,,,,,1,0.0,-0.2,-0.4
Gainfully,https://www.crunchbase.com/organization/advisordeck,"Media and Entertainment, Software, Internet Services, Financial Services","San Francisco, California, United States",Financial services at the speed of social.,"92,897",Operating,05/01/2014,,,http://gainful.ly,http://twitter.com/GetGainfully,,,team@gainful.ly,1(855) 730-2323,"Insurance, Social Media, Web Development, Finance, Consulting, Financial Services",,1-10,,,,,,,-0.3,-0.4,-0.6
Getsurance,https://www.crunchbase.com/organization/getsurance,"Internet Services, Financial Services","Berlin, Berlin, Germany",Getsurance is revolutionizing the way you buy insurance.,"58,854",Operating,03/10/2016,,,https://getsurance.de,https://www.twitter.com/getsurance,https://www.facebook.com/getsurance,,,+00493031199933,"Online Portals, Insurance, Finance",,,05/31/2016,"€500,000","€500,000","$557,029","$557,029",2,-0.1,0.0,1.4
Go,https://www.crunchbase.com/organization/go-2,"Apps, Software, Financial Services, Mobile","Mountain View, California, United States",A free app for car insurance with discounts only available on mobile.,"54,885",Operating,07/01/2014,,,http://meetgo.me,https://www.twitter.com/savewithgo,,https://www.linkedin.com/company/go,support@meetgo.me,(650) 597-2223,"Insurance, Auto Insurance, Apps, Mobile",1,11-50,,,,,,,-0.1,-0.3,-0.4
hackers & thinkers,https://www.crunchbase.com/organization/hackers-thinkers,"Commerce and Shopping, Software, Sales and Marketing, Internet Services, Financial Services","Köln, Nordrhein-Westfalen, Germany","We love FinTech, InsureTech, Consumer Internet Products and state of the art technology",,Operating,01/01/2013,,,http://hackersandthinkers.vc,,,http://www.linkedin.com/company/hackers-&-thinkers,,,"Developer APIs, Personal Branding, Internet, Insurance, E-Commerce, FinTech, Software, Financial Services",4,,,,,,,,-0.8,-1.1,-1.3
HoneyInsured,https://www.crunchbase.com/organization/honeyinsured,"Science and Engineering, Data and Analytics, Software, Internet Services, Financial Services","Bellevue, Washington, United States",Health Insurance Recommendation Engine,"22,027",Operating,03/01/2015,,4,https://honeyinsured.com,https://twitter.com/honeyinsured,https://www.facebook.com/honeyinsured/,,,,"Search Engine, Insurance, Artificial Intelligence",2,1-10,10/22/2015,"$12,000",,,"$112,000",2,0.1,-0.3,-0.2
Impact Health,https://www.crunchbase.com/organization/impact-health,"Health Care, Internet Services, Financial Services","Los Angeles, California, United States","Using data + predictive modeling, Impact Health makes buying health insurance online simple and transparent.","3,488",Operating,11/11/2014,,9,https://impacthealth.io,https://twitter.com/ImpactHealthio,https://www.facebook.com/ImpactHealthiO,,hello@impacthealth.io,,"Internet, Insurance, SaaS, Health Care",2,11-50,10/23/2016,"$1,650,000","$1,650,000","$3,155,000","$3,155,000",11,-0.3,-1.3,2.8
Instantview,https://www.crunchbase.com/organization/instantview,"Data and Analytics, Software, Internet Services, Financial Services, Mobile","Nottingham, Nottingham, United Kingdom",iBeacon and Electronic Shelf Label (ESL) services to promote proximity-based mobile marketing and real-time product pricing,,Operating,11/16/2011,,,http://instantview.co,https://www.twitter.com/instantview_ltd,https://www.facebook.com/instantview,,mark.habgood@instantview.co,07973208125,"Internet, Cloud Computing, Insurance, Big Data, Mobile, Software",2,1-10,,,,,,,0.1,-0.3,-0.7
Insurance Market Pte Ltd,https://www.crunchbase.com/organization/insurance-market-pte-ltd,"Internet Services, Financial Services","Singapore, Central Region, Singapore","Insurance Market helps to take the stress out of insurance. Fully online, fully informed and a fully satisfactory experience.","30,714",Operating,01/01/2014,,,https://insurancemarket.sg/,https://www.twitter.com/insurancemktsg,https://www.facebook.com/InsuranceMarketSG,https://www.linkedin.com/company/insurance-market-pte-ltd,info@insurancemarket.sg,+006567110386,"Internet, Insurance, Financial Services",,1-10,01/31/2016,"$300,000","$300,000","$712,563","$712,563",,-0.3,-0.8,-1.2
InsuranceforStartups,https://www.crunchbase.com/organization/insuranceforstartups-com,"Internet Services, Financial Services","Chicago, Illinois, United States",InsuranceforStartups.com is the source for technology based startups to understand financial risk and purchase appropriate insurance.,,Operating,01/01/2012,,,http://insuranceforstartups.com,http://twitter.com/startupinsure,http://www.facebook.com/Insuranceforstartupscom/4120615622,,info@insuranceforstartups.com,,"Search Engine, Insurance",,1-10,,,,,,,1.7,0.4,-1.2
INZMO,https://www.crunchbase.com/organization/inzmo,"Apps, Software, Financial Services, Mobile","Tallinn, Harjumaa, Estonia",Get any insurance cover in seconds over a mobile-app.,"9,797",Operating,01/01/2016,,,http://www.inzmo.com,https://twitter.com/inzmoapp,,,,,"Insurance, Apps, Mobile",2,,09/09/2016,"$125,000","$125,000","$381,336","$381,336",1,-0.2,-0.2,-0.3
Isaac Reinsurance Group,https://www.crunchbase.com/organization/isaac-reinsurance-group,"Software, Financial Services","New York, New York, United States",Isaac Re is a software marketplace where you can invest in bonds that are backed by insurance risks.,"23,899",Operating,01/01/2015,,,http://www.isaacre.com/,,,https://www.linkedin.com/company/10426835,inbox@isaacre.com,,"Insurance, Risk Management, Software",,1-10,02/10/2016,"$40,000","$40,000","$40,000","$40,000",1,-0.3,-0.5,-0.1
Jastr,https://www.crunchbase.com/organization/jastr,"Data and Analytics, Software, Health Care, Internet Services, Financial Services",,Building the Internet of Health in NYC.,"50,433",Operating,12/24/2015,,52,https://www.jastr.co/,http://twitter.com/,,https://www.linkedin.com/company/jastr-inc-?trk=top_nav_home,contact@jastr.co,,"Insurance, FinTech, Internet of Things, Health Care, Machine Learning, Financial Services",2,1-10,,,,,,,-0.2,-0.4,-0.8
Jetty,https://www.crunchbase.com/organization/jetty-2,"Software, Financial Services","New York, New York, United States","Technology-enabled, Property & Casualty insurance start-up based in New York City","3,216",Operating,09/01/2015,,,http://www.jetty.com,https://twitter.com/jetty,,,info@jetty.com,,"Property Insurance, Consumer Software, Insurance",2,1-10,05/18/2016,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",10,0.0,-0.3,-0.5
Klikzeker,https://www.crunchbase.com/organization/klikzeker,"Internet Services, Financial Services",,"Under brand Klikzeker (NL), simplesurance develops innovative insurance cross- selling solutions for e-commerce shops.",,Operating,05/01/2012,,,https://www.klikzeker.nl,https://twitter.com/klikzeker,https://www.facebook.com/klikzeker,,info@klikzeker.nl,+08004004008,"Internet, Insurance, FinTech",,,,,,,,,1.1,0.1,0.7
Ladder,https://www.crunchbase.com/organization/ladder-2,"Internet Services, Financial Services","Menlo Park, California, United States","The smart, modern way to insure your life.","1,449",Operating,01/01/2015,,,https://www.ladderlife.com/,https://twitter.com/ladder,https://www.facebook.com/ladderlife/?ref=nf,https://www.linkedin.com/company/ladderlife,,,"Internet, Insurance, FinTech",4,1-10,10/19/2016,"$14,000,000","$14,000,000","$14,000,000","$14,000,000",4,-0.4,-1.5,8.7
massUp,https://www.crunchbase.com/organization/massup,"Hardware, Consumer Electronics, Software, Financial Services",,massUp is a white-label platform for online sales of annex and niche insurance products by brokers.,"48,011",Operating,01/01/2015,,,http://massup.de/?lang=en,,https://www.facebook.com/massUpDE,,,,"Consumer Electronics, Insurance, Software",,,12/08/2015,"€15,000","€15,000","$16,290","$16,290",1,0.1,-0.1,-0.2
MediaAlpha,https://www.crunchbase.com/organization/mediaalpha,"Hardware, Sales and Marketing, Internet Services, Financial Services, Advertising","Santa Monica, California, United States",MediaAlpha is an advertising technology company that develops programmatic advertising platforms.,"44,303",Operating,01/01/2012,,14,http://www.mediaalpha.com,http://twitter.com/mediaalpha,http://www.facebook.com/mediaalpha,http://www.linkedin.com/company/mediaalpha,info@mediaalpha.com,,"Lead Generation, Internet, Insurance, Advertising Platforms, Telecommunications, Advertising",,11-50,,,,,,,-0.2,-0.5,-1.0
Metafused,https://www.crunchbase.com/organization/metafused,"Science and Engineering, Data and Analytics, Software, Sales and Marketing, Internet Services, Financial Services","London, England, United Kingdom",Metafused use aritificial intelligence to inform and execute in real time what your potential and new customer did next,"15,124",Operating,12/01/2014,,,http://www.metafused.com,http://twitter.com/metafused,http://www.facebook.com/metafused,http://www.linkedin.com/in/metafused,mk@metafused.com,447968692984,"Marketing Automation, Insurance, Brand Marketing, Internet of Things, Big Data, Analytics, Machine Learning, Artificial Intelligence, Financial Services",2,1-10,08/21/2015,"$300,000","$300,000","$300,000","$700,000",1,0.1,0.5,2.7
Metromile,https://www.crunchbase.com/organization/metromile,"Apps, Software, Transportation, Internet Services, Financial Services, Mobile","San Francisco, California, United States","Metromile is a variably-priced, pay-per-mile car insurance provider that charges customers for the actual miles they drive.",291,Operating,06/01/2011,,124,http://www.metromile.com,http://twitter.com/Metromile,http://www.facebook.com/Metromile,https://www.linkedin.com/company/metromile,lauren@metromile.com,888-866-5286,"Internet, Automotive, Insurance, Auto Insurance, Mobile Apps",2,51-100,09/21/2016,"$50,000,000","$50,000,000","$205,500,000","$205,500,000",12,0.1,-2.4,-3.4
Onegini,https://www.crunchbase.com/organization/onegini,"Travel and Tourism, Information Technology, Software, Privacy and Security, Financial Services, Lending and Investments, Mobile","Woerden, Zuid-Holland, The Netherlands","Onegini protects customer personal data and enables secure transactions, using any device any time.","54,027",Operating,01/01/2012,,11,https://www.onegini.com,https://twitter.com/onegini,https://www.facebook.com/Onegini,https://www.linkedin.com/company/onegini,info@onegini.com,(030) 711-6845,"Developer APIs, Travel, Developer Tools, Security, Identity Management, Insurance, Cyber Security, Banking, Mobile",2,11-50,11/30/2015,"€1,500,000","€1,500,000","$1,588,517","$1,588,517",1,0.2,1.6,1.3
Ouistock,https://www.crunchbase.com/organization/ouistock,"Navigation and Mapping, Real Estate, Data and Analytics, Internet Services, Financial Services","Lille, Nord-Pas-de-Calais, France",Ouistock offers a peer-to-peer self-storage service in France.,"95,526",Operating,04/29/2014,,,http://www.ouistock.com,https://twitter.com/Ouistock,https://www.facebook.com/ouistock,http://www.linkedin.com/company/5157783,contact@ouistock.fr,GENERAL.PHONE,"Collaborative Consumption, Location Based Services, Insurance, Self-Storage",2,1-10,06/15/2015,"€600,000","€600,000","$675,293","$675,293",,-0.2,-0.4,-0.6
PagueMob,https://www.crunchbase.com/organization/paguemob,"Software, Payments, Financial Services, Mobile",,PagueMob is an Insurance company.,,Was Acquired,01/01/2013,,,https://paguemob.com/,https://www.twitter.com/paguemob,,,,,"Mobile Payments, Insurance, Payments",,1-10,,,,,,,0.2,0.7,0.1
pesabazaar.com,https://www.crunchbase.com/organization/pesabazaar-com,"Information Technology, Internet Services, Privacy and Security, Financial Services","Nairobi, Nairobi Area, Kenya",Pesabazaar is Kenya’s prominent online general insurance aggregator.,"30,204",Operating,04/02/2014,,,http://www.pesabazaar.com,https://www.twitter.com/pesabazaar,https://www.facebook.com/377151862474596,,info@pesabazaar.com,+254205250996,"Internet, Identity Management, Insurance",,1-10,04/13/2016,"$396,000","$396,000","$421,000","$421,000",,-0.2,-0.2,-0.2
