Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Draper Fisher Jurvetson (DFJ),https://www.crunchbase.com/organization/draper-fisher-jurvetson,715,136,"Menlo Park, California, United States",Venture Capital,"Draper Fisher Jurvetson is a California-based venture capital firm that funds companies in seed, early, and growth stages.",http://www.dfj.com,http://twitter.com/dfjvc,http://www.facebook.com/dfj,http://www.linkedin.com/company/24415,388,184,,,,591,-0.5,-0.7,3.0
SV Angel,https://www.crunchbase.com/organization/sv-angel,699,200,"San Francisco, California, United States",Micro VC,"SV Angel is a San Francisco-based angel firm that helps startups with business development, financing, M&A, and other strategic advice.",http://svangel.com,https://twitter.com/svangel,https://www.facebook.com/svangelfirm,https://www.linkedin.com/company/sv-angel,602,21,,,,94,-0.6,3.1,1.0
Techstars,https://www.crunchbase.com/organization/techstars,646,73,"Boulder, Colorado, United States",Accelerator,Techstars is a startup accelerator that provides mentorship-driven seed-stage investment services for technology-oriented companies.,http://techstars.com,http://twitter.com/techstars,http://www.facebook.com/techstars,http://www.linkedin.com/company/techstars,547,18,On Site,12/11/2016,12 weeks,51,-0.7,-2.6,-3.8
Bessemer Venture Partners,https://www.crunchbase.com/organization/bessemer-venture-partners,623,136,"Menlo Park, California, United States",Venture Capital,Bessemer Venture Partners manages more than $4 billion of venture capital invested in over 130 companies around the world.,http://www.bvp.com,http://twitter.com/bessemervp,http://www.facebook.com/bessemervp,https://www.linkedin.com/company/16754?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A16754%2Cidx%3A2-1-4%2CtarId%3A1440682392914%2Ctas%3ABessemer%20Venture%20Partners,367,219,,,,118,-1.1,-0.5,-2.4
Right Side Capital Management,https://www.crunchbase.com/organization/right-side-capital-management,585,40,"San Francisco, California, United States",Micro VC,"Right Side Capital Management invests in capital-efficient, seed-stage technology startups across the U.S. in every technology sector.",http://www.rightsidecapital.com,,,,541,1,,,,"1,136",-0.4,-1.1,-3.3
First Round,https://www.crunchbase.com/organization/first-round-capital,548,81,"San Francisco, California, United States",Venture Capital,First Round is a venture capital firm that specializes in providing seed-stage funding to technology companies.,http://www.firstround.com,http://twitter.com/firstround,http://www.facebook.com/firstroundcapital,https://www.linkedin.com/company/555078?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A555078%2Cidx%3A2-1-4%2CtarId%3A1440802638047%2Ctas%3AFirst%20Round,289,62,,,,153,-0.8,-1.3,-3.3
Index Ventures,https://www.crunchbase.com/organization/index-ventures,535,90,"Geneva, Geneve, Switzerland",Venture Capital,Index Ventures is a multi-stage international venture capital firm that backs the best and most ambitious entrepreneurs.,http://www.indexventures.com,http://twitter.com/indexventures,,http://www.linkedin.com/company/index-ventures,317,183,,,,100,-0.6,-1.8,-0.2
Greylock Partners,https://www.crunchbase.com/organization/greylock,524,137,"Menlo Park, California, United States",Venture Capital,"Greylock Partners backs entrepreneurs who are building disruptive, market-transforming consumer and enterprise software companies.",http://www.greylock.com,http://twitter.com/greylockvc,http://www.facebook.com/Greylock,http://www.linkedin.com/company/18077,319,134,,,,221,-0.3,-2.2,-3.7
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,516,159,"New York, New York, United States",Investment Bank,"Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.",http://www.goldmansachs.com/,http://twitter.com/goldmansachs,https://www.facebook.com/goldmansachs,http://www.linkedin.com/company/goldman-sachs,415,203,,,,55,0.0,-1.6,-1.5
High-Tech Gruenderfonds,https://www.crunchbase.com/organization/high-tech-gruenderfonds,515,25,"Bonn, Nordrhein-Westfalen, Germany",Micro VC,"High-Tech Gruenderfonds is a German venture capital firm focused on seed-, early-, and later-stage venture investments.",http://www.htgf.de,http://twitter.com/HTGF,http://www.facebook.com/HTGF.VC,http://www.linkedin.com/company/high-tech-grunderfonds,356,50,,,,424,2.6,4.2,2.8
Lightspeed Venture Partners,https://www.crunchbase.com/organization/lightspeed-venture-partners,507,90,"Menlo Park, California, United States",Venture Capital,"Lightspeed Venture Partners is a venture capital firm that is engaged in the consumer, enterprise, technology, and cleantech markets.",http://lsvp.com,http://twitter.com/lightspeedvp,http://www.facebook.com/Lightspeed,http://www.linkedin.com/company/lightspeed-venture-partners,281,138,,,,66,-0.1,4.5,5.1
Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,496,105,"Boston, Massachusetts, United States",Venture Capital,"Battery Ventures finances technology sector companies with venture capital, private equity, and debt financing investments.",http://www.battery.com,http://twitter.com/batteryventures,http://www.facebook.com/BatteryVentures1983,http://www.linkedin.com/company/battery-ventures,279,195,,,,135,-0.4,-0.8,-0.2
Benchmark,https://www.crunchbase.com/organization/benchmark,489,112,"San Francisco, California, United States",Venture Capital,"Benchmark focuses on early-stage venture investing in mobile, marketplaces, social, and infrastructure and enterprise software.",http://www.benchmark.com,http://twitter.com/benchmark,http://www.facebook.com/Benchmark,http://www.linkedin.com/company/benchmark-capital,252,155,,,,194,0.1,1.4,0.2
Atlas Venture,https://www.crunchbase.com/organization/atlas-venture,462,87,"Cambridge, Massachusetts, United States",Venture Capital,"Atlas Venture caters to biotech startup companies in the U.S. with seed, early, and later stage venture investments.",http://atlasventure.com/,http://twitter.com/atlasventure,http://www.facebook.com/pages/Atlas-Venture/179492238740381,http://www.linkedin.com/company/atlas-venture,261,126,,,,452,-0.4,1.3,1.6
Norwest Venture Partners - NVP,https://www.crunchbase.com/organization/norwest-venture-partners,459,97,"Palo Alto, California, United States",Venture Capital,Norwest Venture Partners is a California-based venture capital firm focused on early- to later-stage and growth equity investments.,http://www.nvp.com,http://twitter.com/NorwestVP,http://www.facebook.com/Norwest-Venture-Partners-NVP/88709,http://www.linkedin.com/company/norwest-venture-partners,242,165,,,,538,-0.6,-0.9,-2.2
Redpoint,https://www.crunchbase.com/organization/redpoint-ventures,456,86,"Menlo Park, California, United States",Venture Capital,Redpoint helps entrepreneurs build innovative businesses that defy convention & shape the future.,http://redpoint.com,http://twitter.com/redpointvc,http://www.facebook.com/RedpointVC,http://www.linkedin.com/company/redpointventures,245,126,,,,184,-0.4,-0.9,-1.3
Northstar Ventures,https://www.crunchbase.com/organization/northstar-ventures,450,8,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Venture Capital,"Based in Newcastle and Darlington, Northstar is a venture capital firm with over £95m under management, investing in high-growth industries",http://www.northstarventures.co.uk,http://twitter.com/northstarvent,http://www.facebook.com/pages/Northstar-Ventures/182500521950063,http://www.linkedin.com/company/2395923,234,9,,,,"2,168",0.2,-0.4,-0.9
GV,https://www.crunchbase.com/organization/google-ventures,447,67,"Mountain View, California, United States",Venture Capital,"GV provides seed, venture, and growth stage funding to technology companies.",http://www.gv.com,http://twitter.com/googleventures,https://www.facebook.com/GoogleVentures,,306,95,,,,223,-0.8,-1.9,-2.6
Crowdcube,https://www.crunchbase.com/organization/crowdcube,441,2,"Exeter, Devon, United Kingdom",Funding Platform,"Crowdcube, a crowdfunding service, enables individuals to invest or loan in small companies in return for equity or an annual return.",https://www.crowdcube.com,http://twitter.com/Crowdcube,http://www.facebook.com/crowdcube,http://www.linkedin.com/company/crowdcube-limited,393,3,,,,148,-0.8,-2.0,-3.5
Menlo Ventures,https://www.crunchbase.com/organization/menlo-ventures,441,102,"Menlo Park, California, United States",Venture Capital,Menlo Ventures is a venture capital firm providing capital for seed through growth technology companies in the consumer and other sectors.,http://www.menlovc.com,http://twitter.com/menloventures,http://www.facebook.com/menloventures,http://www.linkedin.com/company/menlo-ventures,242,153,,,,355,-1.0,-2.6,-4.0
Canaan Partners,https://www.crunchbase.com/organization/canaan-partners,424,83,"Menlo Park, California, United States",Venture Capital,Canaan Partners is a California-based early-stage venture capital firm focused on disruptive technology startups and healthcare companies.,http://www.canaan.com,http://twitter.com/canaanpartners,https://www.facebook.com/CanaanPartners,http://www.linkedin.com/company/canaan-partners,233,160,,,,130,-0.7,-1.6,-0.2
U.S. Venture Partners (USVP),https://www.crunchbase.com/organization/us-venture-partners,415,98,"Menlo Park, California, United States",Venture Capital,"USVP is a leading Silicon valley-based venture capital firm, helping entrepreneurs build world-class companies",http://usvp.com,http://twitter.com/USVP_,http://www.facebook.com/US-Venture-Partners-USVP/113779035,http://www.linkedin.com/company/57330,224,113,,,,"1,361",-0.3,-0.8,-1.2
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,410,28,"Sunnyvale, California, United States",Accelerator,Plug and Play is a seed and early-stage investment firm focusing on technology start-ups.,http://www.plugandplaytechcenter.com,http://twitter.com/plugandplaytc,http://www.facebook.com/plugandplaytechcenter,https://www.linkedin.com/company/plug-and-play-tech-center,327,10,,12/31/2016,12 weeks,"1,320",0.1,-1.3,-3.6
Silicon Valley Bank,https://www.crunchbase.com/organization/silicon-valley-bank,401,116,"Santa Clara, California, United States",Investment Bank,"Silicon Valley Bank works with technology, life science, cleantech, venture capital, private equity and premium wine businesses.",http://www.svb.com,http://twitter.com/SVB_Financial,http://www.facebook.com/pages/SVB-Financial-Group-Silicon-Valley,http://www.linkedin.com/company/silicon-valley-bank,352,56,,,,562,-0.8,-0.4,-0.1
Kima Ventures,https://www.crunchbase.com/organization/kima-ventures,400,28,"Paris, Ile-de-France, France",Micro VC,Investing worldwide in 2 to 3 companies per week. Stage & Sector agnostic.,http://www.kimaventures.com,http://twitter.com/kimaventures,http://www.facebook.com/KimaVentures,,352,7,,,,329,-0.8,-1.7,1.1
Foundation Capital,https://www.crunchbase.com/organization/foundation-capital,394,94,"Menlo Park, California, United States",Venture Capital,Foundation Capital is a venture capital firm made up of former entrepreneurs who set out to create the firm they wanted as founders.,http://foundationcapital.com,http://twitter.com/FoundationCap,https://www.facebook.com/foundationcap/,http://www.linkedin.com/company/foundation-capital,220,101,,,,325,-0.5,-0.9,2.6
CRV,https://www.crunchbase.com/organization/charles-river-ventures,378,97,"Cambridge, Massachusetts, United States",Venture Capital,"early-stage venture capital firm with a value-added, hands-on approach",http://www.crv.com,http://twitter.com/CRV,http://www.facebook.com/CharlesRiverVentures,,230,92,,,,367,2.6,0.1,-2.4
RRE Ventures,https://www.crunchbase.com/organization/rre-ventures,376,58,"New York, New York, United States",Venture Capital,"RRE Ventures is a New York-based venture capital firm that offers early-stage funding to software, internet, and communications companies.",http://www.rre.com/,http://twitter.com/rre,http://www.facebook.com/RREVC,http://www.linkedin.com/company/56708,217,96,,,,402,-0.8,0.0,-1.4
Tech Coast Angels,https://www.crunchbase.com/organization/tech-coast-angels,373,46,"Newport Beach, California, United States",Angel Group,Invests in high-growth start-up's headquartered in Southern California,http://www.techcoastangels.com,http://twitter.com/techcoastangels,http://www.facebook.com/techcoastangels,,328,32,,,,808,-0.6,-1.6,-3.4
Startupbootcamp,https://www.crunchbase.com/organization/startupbootcamp,371,9,"London, England, United Kingdom",Accelerator,Startupbootcamp is a global network of industry-focused startup accelerators that provides investment and mentorship services.,http://www.startupbootcamp.org,http://twitter.com/sbootcamp,http://www.facebook.com/startupbootcamp,http://www.linkedin.com/company/667454,354,,On Site,01/01/2016,3 weeks,260,0.0,-0.4,0.4
IDG Capital Partners,https://www.crunchbase.com/organization/idg-capital-partners,369,38,"Beijing, Beijing, China",Corporate Venture Capital,IDG Capital Partners is a Chinese investment firm that funds early- to growth-stage companies in the technology sector.,http://www.idgvc.com,,,http://www.linkedin.com/company/idgvc,251,41,,,,313,1.6,3.2,3.3
True Ventures,https://www.crunchbase.com/organization/true-ventures,364,55,"Palo Alto, California, United States",Venture Capital,True Ventures is a Silicon Valley-based venture capital firm that invests in early-stage technology startups.,http://www.trueventures.com,http://twitter.com/trueventures,http://www.facebook.com/trueventures,http://www.linkedin.com/company/538495,197,109,,,,176,-0.5,-0.8,-1.3
Oak Investment Partners,https://www.crunchbase.com/organization/oak-investment-partners,339,76,"Greenwich, Connecticut, United States",Venture Capital,Oak Investment Partners is a multi-stage venture capital and private equity firm.,http://oakinv.com,http://twitter.com/OakVC,https://www.facebook.com/Oak-Investment-Partners-292565877489017,http://www.linkedin.com/company/oak-investment-partners,196,117,,,,"1,078",-0.2,2.1,-1.0
DCM Ventures,https://www.crunchbase.com/organization/dcm,328,57,"Menlo Park, California, United States",Venture Capital,DCM Ventures is an early stage VC empowering the global ambitions of inspired entrepreneurs,http://www.dcm.com,http://twitter.com/DCM_VC,http://www.facebook.com/dcmvc,http://www.linkedin.com/company/dcm,186,97,,,,578,-0.6,-2.1,-3.8
Lerer Hippeau Ventures,https://www.crunchbase.com/organization/lerer-ventures,317,54,"New York, New York, United States",Venture Capital,Lerer Hippeau Ventures is a seed stage venture capital fund based in New York City.,http://www.lererhippeau.com,http://twitter.com/LererHippeau,http://www.facebook.com/LererHippeauVentures,https://www.linkedin.com/company/9333719?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A9333719%2Cidx%3A1-1-1%2CtarId%3A1440458127512%2Ctas%3ALerer%20Hippeau,223,28,,,,281,-1.5,-1.7,-3.3
Austin Ventures,https://www.crunchbase.com/organization/austin-ventures,315,74,"Austin, Texas, United States",Venture Capital,Austin Ventures is a venture capital firm investing in early stage and middle market companies.,http://www.austinventures.com,http://twitter.com/AustinVentures,http://www.facebook.com/austinventures,http://www.linkedin.com/company/162584,174,122,,,,"1,501",-0.3,-0.8,1.4
Felicis Ventures,https://www.crunchbase.com/organization/felicis-ventures,304,73,"Palo Alto, California, United States",Micro VC,"Felicis Ventures is a venture capital firm specialized in angel investments, incubation, seed and startup, early stage, and later financing.",http://www.felicis.com,http://twitter.com/felicisventures,,http://www.linkedin.com/company/felicis-ventures,213,19,,,,340,-0.4,3.8,0.8
Great Oaks Venture Capital,https://www.crunchbase.com/organization/great-oaks-venture-capital,282,42,"New York, New York, United States",Venture Capital,"Great Oaks is an early stage venture investment firm founded by Andrew Boszhardt, Jr.",http://www.greatoaksvc.com,http://twitter.com/GreatOaksVC,http://www.facebook.com/pages/Great-Oaks-Venture-Capital/137867486385224,http://www.linkedin.com/company/3254468,218,18,,,,"1,045",-0.5,-1.3,-3.7
Cyril Ebersweiler,https://www.crunchbase.com/person/cyril-ebersweiler,266,6,"San Francisco, California, United States",Angel,"Cyril is a venture partner at SOSventures and the founder of HAX (the premiere startup accelerator program for hardware startups - Shenzhen & San Francisco), China Accelerator (the first startup accelerator in China - Shanghai) and LEAP Axlr8r (building the future of interaction design - San Francisco). He is a mentor at Techstars and 500startups, an advisor to the Global Accelerator Network (http://globalacceleratornetwork.com/about/) as well as a board member/advisor to a few startups including Leap Motion, Orderwithme, Next Thing Co and gTar. He is the most prolific investor in the hardware space (40+) and has invested on every continent. Cyril has given lectures, been on panels or organized startup competitions at The Pioneers Conference, TechCrunch, The New Context Conference, AdTech, MIT GSW, MIT CHIEF, GMIC, GMIC-SV, CESIF, Samurai Incubate, RailsRumble, Nodeknockout, IBM Smartcamp, NUS, etc...  He is the organizer of the 10x10 Conferences held in Beijing and Shanghai, ",,http://twitter.com/cebersweiler,http://www.facebook.com/netcrunch,http://www.linkedin.com/in/cyrilebersweiler,201,4,,,,"2,550",0.4,0.6,1.4
Ignition Partners,https://www.crunchbase.com/organization/ignition-partners,244,48,"Bellevue, Washington, United States",Venture Capital,Ignition is a venture capital firm dedicated to helping the best entrepreneurs seize opportunity.,http://www.ignitionpartners.com,http://twitter.com/ignitionVC,,http://www.linkedin.com/company/ignition-partners,141,79,,,,"1,413",-0.2,-0.5,-0.9
Spark Capital,https://www.crunchbase.com/organization/spark-capital,242,37,"Boston, Massachusetts, United States",Venture Capital,Spark Capital partners with imaginative entrepreneurs who are driven to move people with the products and experiences they create.,http://www.sparkcapital.com,http://twitter.com/sparkcapital,http://www.facebook.com/pages/Spark-Capital/8810462652,http://www.linkedin.com/company/spark-capital-llc,136,141,,,,123,-0.5,0.7,3.1
Shasta Ventures,https://www.crunchbase.com/organization/shasta-ventures,236,40,"Menlo Park, California, United States",Venture Capital,"Shasta Ventures is an investment company that focuses companies in consumer internet, mobile, and software sectors.",http://shastaventures.com,http://twitter.com/shasta,,,124,74,,,,296,-0.5,0.9,1.7
TCV,https://www.crunchbase.com/organization/technology-crossover-ventures,234,113,"Palo Alto, California, United States",Private Equity Firm,"Founded in 1995, TCV is a leading provider of capital to growth-stage private and public companies in the technology industry.",http://www.tcv.com,https://twitter.com/TCVTech,https://www.facebook.com/technologycrossoverventures/,https://www.linkedin.com/company/26406?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A26406%2Cidx%3A2-1-4%2CtarId%3A1450889867409%2Ctas%3Atechnology%20crossover%20,188,116,,,,794,-0.9,-2.9,-3.7
Bain Capital Ventures,https://www.crunchbase.com/organization/bain-capital-ventures,232,46,"Boston, Massachusetts, United States",Corporate Venture Capital,Bain Capital Ventures is a Massachusetts-based venture capital and growth equity firm that funds technology companies.,http://www.baincapitalventures.com,http://twitter.com/BainCapVC,http://www.facebook.com/pages/Bain-Capital-Ventures-Innovation-C,http://www.linkedin.com/company/bain-capital-ventures,142,115,,,,350,-0.8,-1.1,-1.5
DAG Ventures,https://www.crunchbase.com/organization/dag-ventures,227,62,"Palo Alto, California, United States",Venture Capital,"The firm invests in a variety of IT, energy, and life sciences companies.",http://www.dagventures.com,http://twitter.com/dagventures,,,133,70,,,,"2,881",0.1,-0.7,-1.3
Sutter Hill Ventures,https://www.crunchbase.com/organization/sutter-hill-ventures,226,63,"Palo Alto, California, United States",Venture Capital,Sutter Hill Ventures has financed technology-based start-ups and assisted entrepreneurs in building market-leading companies since 1962.,http://www.shv.com,http://twitter.com/shv,,http://www.linkedin.com/company/53272,124,60,,,,913,-0.4,-1.4,-1.0
Fabrice Grinda,https://www.crunchbase.com/person/fabrice-grinda,224,26,"New York, New York, United States",Angel,"Fabrice Grinda is among the world’s leading Internet entrepreneurs and investors. He has over $300 million in exits and 150 angel investments. Fabrice has served as CEO for three multinational companies and has an impressive track record as an early investor in Alibaba, Lending Club, Delivery Hero and Brightroll. Fabrice is currently investing in startups and building companies through FJ Labs, which he cofounded with business partner Jose Marin. Fabrice is also co-founder and executive chairman of Beepi, a next generation used car marketplace. Beepi recently raised $60 million in series B funding. Prior to FJ Labs and Beepi, Fabrice was co-founder and co-CEO of OLX, one of the largest websites in the world with over 200 million unique visitors per month. The company operates in 40 countries and has over 1,200 employees. OLX is the largest classifieds site in India, Brazil, Pakistan, Poland, Ukraine, Portugal and many other emerging markets. Before OLX, Fabrice was co-found",,http://twitter.com/fabricegrinda,http://www.facebook.com/fabricegrinda,http://www.linkedin.com/in/fabricegrinda,192,2,,,,597,5.1,5.1,3.0
Insight Venture Partners,https://www.crunchbase.com/organization/insight-venture-partners,220,58,"New York, New York, United States",Venture Capital,Insight Venture Partners is a private equity and venture capital firm investing in growth-stage companies.,http://www.insightpartners.com/about,http://twitter.com/insightpartners,,https://www.linkedin.com/company/21064,168,123,,,,227,3.2,5.9,4.3
Salesforce Ventures,https://www.crunchbase.com/organization/salesforce-ventures,217,34,"San Francisco, California, United States",Corporate Venture Capital,Salesforce Ventures invests in the next gen of enterprise tech to help companies connect with their customers in entirely new ways.,http://www.salesforce.com,https://twitter.com/salesforcevc,http://www.facebook.com/salesforce,http://www.linkedin.com/company/salesforce,170,27,,,,180,-0.6,-0.5,-0.5
Seedcamp,https://www.crunchbase.com/organization/seedcamp,213,18,"London, England, United Kingdom",Accelerator,"Seedcamp is a First Round Fund, investing in pre-seed and seed stage startups, backing ambitious founders.",http://www.seedcamp.com,http://twitter.com/seedcamp,http://www.facebook.com/seedcamp,http://www.linkedin.com/company/seedcamp_2,192,4,,06/17/2016,,104,-1.3,-2.9,-0.7
Social Starts,https://www.crunchbase.com/organization/social-starts,213,19,"San Francisco, California, United States",Micro VC,Social Starts is a $60M+ venture partnership that invests at the moment-of-inception and Series A.,http://socialstarts.com,http://twitter.com/socialstarts,https://www.facebook.com/socialstarts/,https://www.linkedin.com/company/social-starts,178,3,,,,881,-0.6,-1.2,-1.8
Data Collective,https://www.crunchbase.com/organization/data-collective,211,24,"San Francisco, California, United States",Venture Capital,"Data Collective invests in entrepreneurs building big data, deep compute, and IT infrastructure companies.",http://www.dcvc.com,http://twitter.com/dcvc,https://www.facebook.com/dcvc/,https://www.linkedin.com/company/data-collective,150,23,,,,207,-0.8,-0.7,-0.7
DreamIt Ventures,https://www.crunchbase.com/organization/dreamit-ventures,210,13,"Philadelphia, Pennsylvania, United States",Accelerator,DreamIt Ventures helps exceptional people build exceptional companies.,http://www.dreamit.com,http://twitter.com/dreamit,http://www.facebook.com/dreamitventures,http://www.linkedin.com/company/dreamit-ventures,194,2,,07/06/2016,14 weeks,"1,021",-0.3,-2.4,-4.6
August Capital,https://www.crunchbase.com/organization/august-capital,207,42,"Menlo Park, California, United States",Venture Capital,August Capital manages over $2.5 billion in committed capital and have invested in a mix of companies across the IT spectrum.,http://www.augustcap.com,http://twitter.com/AugustCapital,,http://www.linkedin.com/company/august-capital,112,76,,,,953,-0.3,-1.9,-5.5
Alireza Masrour,https://www.crunchbase.com/person/alireza-masrour,207,14,"San Francisco, California, United States",Angel,"Alireza is Managing Partner at Plug & Play Investment Arm a place where he led more than 100 investments for the firm since 2008. • Plug & Play representative and works closely with the management teams as advisor or investor • Founding Partner of Plug and Play Startup Camp  Portfolio Exits: Matcha (Apple), TrustGo (Baidu) , Mobspire (Aarki), SplitP (SK Telecom) , Sha-Sha (Telly), HealthPocket (Health Insurance Innovations), PasswordBox (Intel), Vessel.io (Marketo), GNS3 (SolarWinds), Getgoing ( BCD Travel), PiCloud (DropBox). $100 Million Plus Club:  SkyTree (Big Data Analytics) ,Credit Sesame ( FinTech ), Aarki (Creative Ad Tech), Kamcord, Virool ( Ad Tech ), EyeIO (Next Gen of Video Delivery), FiscalNote ( AI and Big Data) To be watched club:  URX, BookingPal ,Aisle411, ngData,  Retailigence , YourMechanic ( Local Mechanics at your place), ImprintEnergy, Fanplayr, Flyr, Intentionis, , Mozio, Kloudless, SpotFodo, Zuli, Cliptone, Second Funnel, Kermdinger, ShoppinPal, G",,http://twitter.com/alirezam,http://www.facebook.com/alireza.masrour,https://www.linkedin.com/in/alirezamasrour,170,7,,,,"3,237",0.3,0.2,0.2
NXTP Labs,https://www.crunchbase.com/organization/nxtp-labs,202,13,"Buenos Aires, Distrito Federal, Argentina",Accelerator,NXTP Labs is the most active early stage fund for tech companies in Latin America. Acceleration and growth are part of our DNA.,http://www.nxtplabs.com,http://twitter.com/NXTPLabs,http://www.facebook.com/NXTPlabs,http://www.linkedin.com/company/2537657,164,2,On Site,08/11/2016,,"5,764",-0.4,-0.8,2.6
e.ventures,https://www.crunchbase.com/organization/e-ventures,201,28,"San Francisco, California, United States",Micro VC,e.ventures is a global venture capital platform with an investment focus on early-stage consumer internet and mobile companies.,http://eventures.vc,http://twitter.com/eventuresVC,http://www.facebook.com/eventures.vc,http://www.linkedin.com/company/e-ventures,115,36,,,,657,-0.3,1.3,5.1
Pitango Venture Capital,https://www.crunchbase.com/organization/pitango-venture-capital,200,35,"Herzliya, Tel Aviv, Israel",Venture Capital,"Pitango is one of Israel's leading venture capital firms, that has been investing in technology entrepreneurs since 1993.",http://www.pitango.com,http://twitter.com/Pitango,,http://www.linkedin.com/company/pitango-venture-capital,104,51,,,,"1,286",-0.3,-1.3,-1.0
