Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Couponz Deal,https://www.crunchbase.com/organization/couponz-deal,"Commerce and Shopping, Internet Services","Bangalore, Karnataka, India",Online Shopping Coupons From Popular Stores,,Operating,08/15/2013,,,http://couponzdeal.com/,https://twitter.com/couponzdeal,https://www.facebook.com/couponzdeal.in,,info@couponzdeal.com,8971733337,"Coupons, E-Commerce, Internet",,1-10,,,,,,,-0.4,-0.2,1.1
Cuponeitor,https://www.crunchbase.com/organization/cuponeitor-es,"Commerce and Shopping, Internet Services","Granada, Andalucia, Spain","Cuponeitor is an online platform providing coupons, coupon codes, and deals that encourage online shopping and money saving.",,Operating,01/01/2013,,,http://www.cuponeitor.es,http://twitter.com/Cuponeitor_es,http://www.facebook.com/cuponeitor.es,,support@cuponeitor.es,,"Coupons, Online Portals, Shopping",1,,,,,,,,-0.5,3.4,5.4
DicaX,https://www.crunchbase.com/organization/dicax,"Commerce and Shopping, Media and Entertainment, Internet Services",,DicaX is a social network that enables its users to find coupon codes.,,Operating,06/01/2011,,,http://dicax.com.br,,https://www.facebook.com/dicax.com.br,,contato@dicax.com.br,+55 26091267,"E-Commerce, Social Media",2,1-10,,,,,,,-0.1,0.4,0.3
Free Coupon Dunia,https://www.crunchbase.com/organization/free-coupon-dunia,"Commerce and Shopping, Media and Entertainment, Internet Services","New Delhi, Delhi, India","Coupons, Coupon Codes, Promo Codes",,Operating,01/01/2014,,,http://freecoupondunia.com/,https://twitter.com/freecoupondunia?lang=en,https://www.facebook.com/freecoupondunia,https://www.linkedin.com/company/freecoupondunia,info@freecoupondunia.com,,"E-Commerce, Shopping, Social Media",1,1-10,,,,,,,-0.5,-0.6,-0.3
FreeCoups,https://www.crunchbase.com/organization/freecoups,"Commerce and Shopping, Internet Services","Chennai, Tamil Nadu, India","Freecoups.net is fully stuffed with digital offers, printable coupons, discount deals for all online & in-stores near to you.",,Operating,08/27/2015,,,http://freecoups.net/,,,,,,"Coupons, E-Commerce, Internet",,,,,,,,,-0.1,-0.5,-0.8
Gifts & Coupons,https://www.crunchbase.com/organization/gifts-coupons,"Commerce and Shopping, Internet Services, Financial Services","Hong Kong, Hong Kong Island, Hong Kong","Founded in 2014 ""Gifts and Coupons"" is the ultimate gift buyer's guide, updated daily.",,Operating,01/01/2014,,,http://www.giftsandcoupons.com,http://twitter.com/giftscoupons,https://www.facebook.com/giftsandcouponsofficial,http://www.linkedin.com/company/gifts-and-coupons,email@giftsandcoupons.com,,"Gift Card, Search Engine, Internet",1,1-10,,,,,,,-0.4,0.8,-0.5
Giga Coupon,https://www.crunchbase.com/organization/giga-coupon,Internet Services,,"We provide latest LiquidWeb VPS hosting, Storm servers, Cloud hosting and Dedicated Server offers for our customers.",,Operating,08/17/2016,,,http://gigacoupon.com/,,,,,,Web Hosting,,,,,,,,,-0.4,,
gotokki,https://www.crunchbase.com/organization/gotokki,"Commerce and Shopping, Navigation and Mapping, Data and Analytics, Internet Services, Mobile","Los Angeles, California, United States",Gotokki is a location-based mobile coupon platform for local merchants.,,Operating,09/01/2011,,,http://www.gotokki.com,http://twitter.com/GoTokkiTweets,http://www.facebook.com/gotokki,,info@gotokki.com,+1 (408) 658-6554,"Coupons, Location Based Services, Mobile",,1-10,,,,,,,-0.4,1.4,0.8
GutMojo,https://www.crunchbase.com/organization/gutmojo,"Apps, Media and Entertainment, Software, Internet Services","Manhattan, New York, United States","Lifestyle browser, directory, SEO, the shopping mall on your phone",,Operating,12/10/2013,,2,http://www.gutmojo.com,http://twitter.com/gutmojo,http://www.facebook.com/GutMojo,,admin@gutmojo.com,+1 (702) 414-1000,"Internet, Social Media, Apps",1,1-10,,,,,,,0.9,-0.1,-1.3
HostGator Coupon Codes 2014,https://www.crunchbase.com/organization/hostgator-coupon-codes-2014,Internet Services,,HostGator is a provider of discount codes and coupons.,,Operating,03/02/2014,,1,http://hostgatorcouponcode.net,http://twitter.com/hostgator13,,,kelvinm632@gmail.com,,Web Hosting,,,,,,,,,1.4,1.5,1.0
iKeebon,https://www.crunchbase.com/organization/ikeebon,"Apps, Commerce and Shopping, Software, Mobile","Miami Beach, Florida, United States",iKeebon is a mobile app that allows its users to upload loyalty card and coupon details and run their own online system.,,Operating,03/31/2015,,,http://ikeebon.com,https://www.twitter.com/xercimaz,https://www.facebook.com/ikeebon,,,,"Coupons, Apps, Mobile",4,,06/10/2015,"ман10,000",,,"$9,534",,-0.3,-0.3,-0.5
Impulsivity,https://www.crunchbase.com/organization/impulsivity,"Apps, Commerce and Shopping, Software, Mobile, Advertising","Toronto, Ontario, Canada",Impulsivity is a free location-based and real-time mobile app that focuses on coupon posting & searching.,"55,956",Operating,08/08/2014,,,http://www.impulsivity.ca,https://twitter.com/impulsivityapp,https://www.facebook.com/impulsivityapp,https://www.linkedin.com/company/impulsivity,,,"Coupons, Advertising Platforms, Apps, Mobile",,11-50,08/08/2014,"$80,000","$80,000","$80,000","$80,000",,-0.1,-0.4,-0.7
Instant2.me,https://www.crunchbase.com/organization/instant2-me,Internet Services,"Porto Alegre, Rio Grande do Sul, Brazil","Instant2.me is a website that enables its users to find restaurants, pastry shops, and bars and make reservations.",,Operating,01/01/2011,,,http://instant2.me,https://www.twitter.com/instant2me,https://www.facebook.com/instant2me,,social@instant2.me,,"Search Engine, Internet",,11-50,,,,,,,-0.2,2.3,1.7
Linfield Media (PromoCodesForYou),https://www.crunchbase.com/organization/linfield-media-promocodesforyou,"Commerce and Shopping, Sales and Marketing, Internet Services, Advertising","Venice, California, United States",Linfield Media partners with online retailers big and small to drive them sales by attracting savvy consumers to a network of coupon sites,,Operating,07/01/2011,,,http://www.linfieldmedia.com,http://twitter.com/PromoCodes4You,http://www.facebook.com/PromoCodesForYou,http://www.linkedin.com/company/linfield-media,info@linfieldmedia.com,13108533477,"Coupons, Affiliate Marketing, Search Engine",2,1-10,,,,,,,-0.1,-0.2,-0.5
Mobipon,https://www.crunchbase.com/organization/mobipon,Internet Services,"Scottsdale, Arizona, United States",Mobipon is a coupon management platform that helps local businesses engage their customers online.,,Operating,01/01/2011,,,http://www.mobipon.com/,https://twitter.com/mobipon,https://www.facebook.com/mobipon,https://www.linkedin.com/company/mobipon,jeff@mobipon.com,602 888-MOBI,"Internet, SaaS",,1-10,,,,,,,-0.5,-0.2,-0.7
MyLeastPrice,https://www.crunchbase.com/organization/myleastprice,"Commerce and Shopping, Internet Services","Indore, Madhya Pradesh, India","MyLeastPrice is Comparison, Coupon & Cashback Website that Offers Extra Cashback on Shopping Sites.","83,818",Operating,11/24/2015,,5,http://www.myleastprice.com/,https://twitter.com/myleastprice,https://www.facebook.com/Myleastprice,https://www.linkedin.com/company/myleastprice,info@myleastprice.com,91-9826344945,"E-Commerce, Online Portals",,11-50,,,,,,,0.2,0.1,-0.5
NEAD,https://www.crunchbase.com/organization/nead,"Platforms, Apps, Software, Sales and Marketing, Payments, Financial Services, Design, Mobile","Huntington Beach, California, United States",NEAD provides web design solutions with an emphasis on social media and mobile app development.,,Operating,01/31/2011,,,http://www.neadapps.com,https://www.twitter.com/nead_llc,http://www.facebook.com/NEADllc,http://www.linkedin.com/company/2254199,info@neadapps.com,714-842-0595,"iOS, Android, Fashion, Payments, Loyalty Programs, Apps, Mobile, Software",2,1-10,,,,,,,0.6,0.4,-0.4
Orders2me,https://www.crunchbase.com/organization/orders2me,"Commerce and Shopping, Food and Beverage, Internet Services","Brooklyn, New York, United States",Orders2me offers an affordable online ordering system which allows restaurants to take orders from their websites & Facebook pages.,"93,468",Operating,01/01/2013,,2,http://orders2.me/,https://twitter.com/Orders2me,https://www.facebook.com/Orders2me,https://www.linkedin.com/company/5206542?trk=prof-exp-company-name,hello@orders2.me,(800) 881-1622,"E-Commerce, Internet, Restaurants",1,1-10,,,,,,,-0.3,-0.2,-0.6
Pepper Global,https://www.crunchbase.com/organization/pepper-global,"Commerce and Shopping, Media and Entertainment, Internet Services",,Shopadero is a personalised and social shopping storefront with coupon and cashback offers.,,Operating,01/01/2012,,,http://shopadero.com,http://twitter.com/shopadero,,,contact@shopadero.com,,"Coupons, E-Commerce, Shopping, Social Media",,1-10,,,,,,,-0.6,-0.3,-0.5
Perples,https://www.crunchbase.com/organization/perples,"Internet Services, Mobile","Seoul, Seoul-t'ukpyolsi, South Korea","Perples is a Korean-based IT company developing RECO, a device using Bluetooth technology to interact with BLE supported devices.",,Operating,04/05/2012,,1,http://www.perples.com,,http://www.facebook.com/Perples.Inc,http://www.linkedin.com/company/2929396,support@perples.com,,"Internet of Things, Mobile",,11-50,,,,,,,-0.5,-0.6,-0.6
Photopon,https://www.crunchbase.com/organization/photopon,"Platforms, Commerce and Shopping, Media and Entertainment, Community and Lifestyle, Software, Sales and Marketing, Content and Publishing, Mobile, Advertising","Hackettstown, New Jersey, United States",Use Your Photos To Create Real Coupons,,Operating,09/01/2011,,,http://www.photopon.com,http://twitter.com/Photopon,http://www.facebook.com/Photopon,,brad@photopon.com,5702422695,"Coupons, Local, Photography, Lifestyle, iOS, SaaS, Advertising, Mobile",,11-50,,,,,,,-0.6,-0.4,-0.4
PopPay,https://www.crunchbase.com/organization/poppay-inc,"Hardware, Commerce and Shopping, Food and Beverage, Data and Analytics, Software, Sales and Marketing, Internet Services, Financial Services","Sunnyvale, California, United States","PopPay is Simple, Secure, and Fast. It's more than a payment solution. Get check on your smartphone at your table and pay with PopPay","7,286",Operating,10/01/2015,,,http://www.thepoppay.com,,https://www.facebook.com/thepoppay/?ref=aymt_homepage_panel,,founders@thepoppay.com,(408)203-1918,"Retail Technology, Point of Sale, Marketing Automation, Food and Beverage, Restaurants, FinTech, Internet of Things, Big Data, Analytics",4,1-10,10/27/2016,"$437,000",,,"$857,000",,-0.7,-0.8,5.1
Reput,https://www.crunchbase.com/organization/reput-corp,"Platforms, Apps, Media and Entertainment, Information Technology, Software, Internet Services, Mobile","New York, New York, United States",The network You're already a part of,,Operating,07/01/2013,,,http://www.reputapp.com,http://twitter.com/reputapp,http://www.facebook.com/reputapp,,info@reputapp.com,,"Contact Management, iOS, Android, Reputation, Social Media, Apps",,1-10,,,,,,,-0.3,1.6,0.4
Scrimpa,https://www.crunchbase.com/organization/scrimpa,Internet Services,"Phoenix, Arizona, United States",Search engine for grocery deals & coupon,,Operating,02/01/2013,,,http://www.scrimpa.com,http://twitter.com/OfficialScrimpa,https://www.facebook.com/scrimpa,,admin@scrimpa.com,,Search Engine,3,1-10,,,,,,,0.0,0.0,-0.7
sharency,https://www.crunchbase.com/organization/sharency,"Apps, Media and Entertainment, Software, Sales and Marketing, Internet Services, Advertising",,"social media campaigns, simplified.",,Operating,01/01/2011,,,http://www.sharency.com,http://twitter.com/sharency_com,,,info@sharency.com,,"Social Media, Advertising, Apps",,1-10,,,,,,,0.2,0.3,-0.2
SnipSnap,https://www.crunchbase.com/organization/snipsnap-app,"Platforms, Commerce and Shopping, Software, Mobile","Philadelphia, Pennsylvania, United States",SnipSnap is a mobile coupon app that allows users to photograph a physical coupon in order to find a mobile coupon.,"12,597",Was Acquired,08/01/2011,,51,http://snipsnap.it,http://twitter.com/snipsnapapp,http://www.facebook.com/snipsnapapp,,info@snipsnap.it,,"Coupons, iOS, Mobile",1,11-50,12/23/2013,"$460,000","$1,000,000","$1,000,000","$2,845,000",14,-0.2,-0.6,-1.1
Stalkthis,https://www.crunchbase.com/organization/stalkthis,"Apps, Software, Internet Services, Mobile","Canberra, Australian Capital Territory, Australia",Stalkthis is a highly personalised shopping tool.,"59,717",Operating,09/20/2011,,,http://www.stalkthis.com/,http://twitter.com/stalkingthis,http://www.facebook.com/Stalkthiscom,,frederica@stalkthis.com,+61 412 263 829,"Internet, Apps, Mobile, Software",,1-10,03/23/2014,"$250,000","$250,000","$250,000","$250,000",,0.2,0.3,-0.4
The GroupCoupon,https://www.crunchbase.com/organization/the-groupcoupon,"Commerce and Shopping, Software, Internet Services","Barcelona, Catalonia, Spain",Group coupons search engine,,Operating,08/01/2011,,,http://www.thegroupcoupon.net,,,,,,"Coupons, Search Engine, Software",,1-10,,,,,,,0.8,-0.2,-0.1
TheTechSuport,https://www.crunchbase.com/organization/thetechsuport,"Commerce and Shopping, Sales and Marketing, Internet Services, Privacy and Security, Advertising",,TheTechSuport is a website providing coupon and promotional codes for software products.,,Operating,01/01/2012,,,http://www.thetechsuport.com,http://twitter.com/thetechsuport,https://www.facebook.com/thetechsuport,,get@thetechsuport.com,,"Coupons, Security, Advertising, Web Hosting",,1-10,,,,,,,-0.2,0.1,1.0
Tooyoou,https://www.crunchbase.com/organization/tooyoou,"Platforms, Software, Sales and Marketing, Mobile, Advertising","New York, New York, United States",Home Screen Mobile Advertising Company,"82,383",Operating,04/21/2011,,,http://www.tooyoou.com,http://twitter.com/tooyoou,http://www.facebook.com/Project-Tooyoou/103014443091574,,info@tooyoou.com,9178464513,"Android, Advertising Platforms, Advertising",1,1-10,,,,,,,-0.1,-0.3,0.0
Townflix,https://www.crunchbase.com/organization/townflix,"Media and Entertainment, Navigation and Mapping, Data and Analytics, Internet Services, Video","Bene Beraq, Tel Aviv, Israel",Businesses-Customers through video,,Operating,01/01/2012,,,http://www.townflix.com,http://twitter.com/Townflix,http://www.facebook.com/Townflix,http://www.linkedin.com/company/2517387,office@townflix.com,,"Location Based Services, Video",1,1-10,,,,,,,-0.4,-0.8,-0.3
Trakket,https://www.crunchbase.com/organization/trakket,"Apps, Commerce and Shopping, Software, Mobile","Toronto, Ontario, Canada","Tracks Sales, Promotions & Coupon Codes",,Operating,08/25/2013,,,http://trakket.com,http://twitter.com/ShopTrakket,http://www.facebook.com/Trakket,,questions@trakket.com,,"Coupons, Shopping, Mobile Apps",1,1-10,,,,,,,-0.5,1.3,1.6
vFit Shoes,https://www.crunchbase.com/organization/vfit-shoes,"Platforms, Commerce and Shopping, Software, Consumer Goods, Mobile","Newport Beach, California, United States",The vFit system consists of a smartphone App as well as a powerful database that resides remotely in the cloud.,"85,125",Operating,10/01/2012,,,http://vfitshoes.com,http://twitter.com/vfit,http://www.facebook.com/VFitShoes,http://www.linkedin.com/company/vfit-shoes,info@vfitshoes.com,,"Shoes, E-Commerce, iOS",1,1-10,,,,,,,0.4,0.0,-0.4
Voucher Pages,https://www.crunchbase.com/organization/voucher-pages,"Apps, Commerce and Shopping, Software, Financial Services, Mobile","Dublin, Dublin, Ireland",Voucher Pages is an online and mobile coupon platform that offers consumers a choice of savings in the most user-friendly manner.,,Operating,01/01/2011,,,http://www.voucherpages.ie,http://twitter.com/voucherpages,http://www.facebook.com/pages/voucherpagesie/201263596576720,,info@voucherpages.ie,(019) 010-448,"Coupons, Gift Card, Apps, Mobile",,1-10,,,,,,,2.3,3.6,1.7
VRAPIT,https://www.crunchbase.com/organization/vrapit,"Commerce and Shopping, Internet Services, Financial Services","Dordrecht, Zuid-Holland, The Netherlands",VRAPIT is worlds first digital giftwrapping platform. VRAPIT brings the excitement of creating and presenting gifts in the digital era!,"57,898",Operating,09/01/2013,,,http://www.vrapit.com,,,,info@vrapit.com,,"Gift Card, E-Commerce, E-Commerce Platforms",,1-10,08/01/2014,"€100,000","€100,000","$134,044","$134,044",,0.4,0.6,1.1
Vuhuru,https://www.crunchbase.com/organization/vuhuru,"Media and Entertainment, Software, Internet Services, Video, Content and Publishing",,"Vuhuru is an interactive video platform for advertisers, marketers and trainers.",,Operating,04/12/2013,,,http://www.vuhuru.com,http://twitter.com/vuhuru,,,TomC@vuhuru.com,+44 113 815 1884,"Video Streaming, Video, Cloud Computing, Content Delivery Network, Web Development, Software",,1-10,,,,,,,-0.5,-1.2,-1.5
Web Hosting Coupons,https://www.crunchbase.com/organization/web-hosting-coupons-2,Internet Services,"Brooklyn, New York, United States",Best web hosting coupons on daily basis,,Operating,07/01/2016,,,https://webhostingcoupons.io,https://www.twitter.com/webhcoupons,https://www.facebook.com/webhostcoupons-1571136233181627,,ask@webhostingcoupons.io,,Web Hosting,,1-10,,,,,,,2.6,2.7,2.4
Wiki Wiki Technologies LLC dba wRipple,https://www.crunchbase.com/organization/wiki-wiki-technologies-llc-dba-wripple,"Commerce and Shopping, Media and Entertainment, Internet Services",,Wiki Wiki Technologies dba wRipple is an application that socializes deals and discounts among friends and their social media connections.,,Operating,03/13/2014,,,http://www.mywripple.com,https://twitter.com/@wrippleofficial,,,info@mywripple.com,(844) 974-7753,"E-Commerce, Social Media",3,1-10,,,,,,,-0.6,-0.5,-0.4
"Wizhunt Locals, Inc.",https://www.crunchbase.com/organization/wizhunt-locals-inc,"Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Internet Services, Mobile","Lewisville, Texas, United States","Wizhunt is an innovative e-commerce platform that businesses utilize to edit, create, and customize coupons.","32,019",Operating,02/01/2012,,4,https://www.wizhuntlocals.com,https://twitter.com/WizhuntLocals,https://www.facebook.com/Wizhunt-Locals-358558000917274/timeline/,https://www.linkedin.com/company/3643112?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3643112%2Cidx%3A1-1-1%2CtarId%3A1443406249365%2Ctas%3Awizhun,scott@wizhunt.com,(888)877-8890,"Search Engine, Brand Marketing, Social Media, Big Data, Analytics, Mobile, Social Media Marketing, Software",1,1-10,10/24/2015,,,"$60,000","$60,000",,-0.1,-0.2,0.0
Worldjunction,https://www.crunchbase.com/organization/worldjunction,"Media and Entertainment, Internet Services","Kuala Lumpur, Kuala Lumpur, Malaysia","Worldjunction is a Social Discovery,Sharing and Entertainment Network - One world,one connection",,Operating,01/01/2014,,,https://worldjunction.com/,,,,feedback@worldjunction.com,,Social Media,1,1-10,,,,,,,0.6,0.4,-0.4
Xooker,https://www.crunchbase.com/organization/xooker,"Gaming, Hardware, Information Technology, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications, Mobile","Lexington, Kentucky, United States","Xooker combines messaging, automatic check-in, games and rewards with analytics for personalized consumer engagement for merchants","16,005",Operating,03/16/2013,,,http://xooker.com/,https://twitter.com/xookerllc,https://www.facebook.com/xooker/,https://www.linkedin.com/company/xooker,ccarney@xooker.com,(859) 309-4410,"3D Technology, Messaging, Gamification, Loyalty Programs, App Marketing, Mobile",1,1-10,08/06/2015,"$1,850,000","$1,850,000","$3,250,000","$3,250,000",,0.2,-0.2,-1.0
ZenDeals,https://www.crunchbase.com/organization/zendeals,"Commerce and Shopping, Internet Services","Redmond, Washington, United States",ZenDeals enables users to check the validity of coupons on the web before offering them to consumers.,"70,498",Operating,01/01/2011,,5,http://zendeals.com,https://www.twitter.com/alxsuva,,,,,"Coupons, Online Portals, Consumer",3,1-10,12/13/2012,,,,,3,-0.2,-0.1,0.6
ZEROBILLBANK LTD,https://www.crunchbase.com/organization/zerobillbank,"Media and Entertainment, Internet Services","Tel Aviv, Tel Aviv, Israel","Your coin, your way! Harness the power of your community by community coin","84,019",Operating,02/10/2015,,,http://www.zerobillbank.com/,http://twitter.com/zerobillbank,http://www.facebook.com/zerobillbank,,support@zerobillbank.com,,Social Media,1,1-10,,,,,,,-0.2,-0.5,-0.5
