Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Printsome.com,https://www.crunchbase.com/organization/printsome-com,"Media and Entertainment, Content and Publishing, Design","London, England, United Kingdom",T-shirt printing agency in the UK,,Operating,11/19/2012,,,http://www.printsome.com,http://twitter.com/printsome,http://www.facebook.com/printsome,,marketing@printsome.com,+44 20 3598 2599,"Fashion, Printing, Consulting",1,11-50,,,,,,,-0.8,-0.7,-0.6
SON OF A TAILOR,https://www.crunchbase.com/organization/son-of-a-tailor,"Commerce and Shopping, Design","Copenhagen, Hovedstaden, Denmark",SON OF A TAILOR is a Denmark-based company that provides its clients with customized T-shirt tailoring services.,"30,704",Operating,10/02/2012,,,http://www.sonofatailor.com,https://twitter.com/sonofatailor,https://www.facebook.com/SonOfATailor,,,,"Personalization, Fashion, E-Commerce",1,,07/14/2016,,,"$300,000","$300,000",4,-0.1,0.0,-0.3
Stitched For Me,https://www.crunchbase.com/organization/stitched-for-me,Design,"Mississauga, Ontario, Canada",Stitched For Me is a company that provides customers with custom designed and manufactured shirts for men.,,Operating,02/01/2012,,,http://www.stitchedforme.com,http://twitter.com/stitchedforme,http://www.facebook.com/StitchedForMe,,info@stitchedforme.com,647-478-9809,Fashion,,11-50,,,,,,,0.0,2.2,1.8
Story Spark,https://www.crunchbase.com/organization/story-spark,"Manufacturing, Commerce and Shopping, Community and Lifestyle, Design","Torrance, California, United States",Story Spark is a lifestyle brand that blends art and technology themes for positive living in today’s digital age. Zap!,,Operating,05/09/2015,,,http://storyspark.com,https://twitter.com/StorySparked,https://www.facebook.com/storyspark,,hello@storyspark.com,13108285564,"Shopping, Textiles, Lifestyle, Fashion, E-Commerce",2,1-10,,,,,,,-0.6,-0.3,-0.7
TechThreads,https://www.crunchbase.com/organization/techthreads,Design,"Baltimore, Maryland, United States",TechThreads is here to revolutionize modern-day tech style.,,Closed,01/01/2014,01/01/2016,,http://techthreads.co/,https://www.twitter.com/techthreadsco,http://www.facebook.com/techthreads,http://www.linkedin.com/company/techthreads,hello@techthreads.co,,Fashion,1,1-10,,,,,,,0.1,1.4,-0.3
Teeology,https://www.crunchbase.com/organization/teeology,"Commerce and Shopping, Design","Los Angeles, California, United States",Teeology is an e-commerce website that sells luxury t-shirts for men and women.,"74,830",Operating,01/01/2012,,2,http://www.teeology.com,https://www.twitter.com/teeol,http://www.facebook.com/teeology,,,310-441-8345,"Fashion, E-Commerce",5,1-10,,,,,,,0.0,-0.1,0.5
Teeser,https://www.crunchbase.com/organization/teeser,"Commerce and Shopping, Design, Mobile","Pistoia, Toscana, Italy","Teeser is the first social commerce where creative people can realize their social t-shirt collection, to share and sell to the community!",,Operating,07/31/2014,,7,http://www.teeser.it,https://twitter.com/teeser_app,https://www.facebook.com/teeserapp,https://www.linkedin.com/company/teeser,info@teeser.it,+393356514655,"Fashion, E-Commerce, Mobile",5,1-10,,,,,,,-0.6,-0.5,-0.9
Threads and Shirts,https://www.crunchbase.com/organization/threads-and-shirts,"Commerce and Shopping, Design","Mumbai, Maharashtra, India",Threads & Shirts™ - Custom Tailored Shirts Online Store,"79,336",Operating,04/05/2015,,1,http://www.threadsandshirts.com,https://twitter.com/threadsbuttons,https://www.facebook.com/www.threadsandbuttons.in,,info@threadsandshirts.com,8108488866,"Shopping, Fashion, E-Commerce",1,,,,,,,,-0.2,-0.4,-0.4
Three,https://www.crunchbase.com/organization/three-3,Design,,is an innovative community for t-shirt illustration with cashback system for user,,Operating,01/01/2015,,,http://www.threelifedesign.com/,http://twitter.com/ThreeLifeDesign,http://www.facebook.com/threelifedesign,,,,Fashion,1,1-10,,,,,,,1.4,2.0,-0.5
TUKZ Undergarments,https://www.crunchbase.com/organization/tukz-undergarments,Design,"Dallas, Texas, United States",TUKZ undergarments LLC is a company that manufactures and distributes a new revolutionary patent pending undergarment.,,Operating,05/25/2011,,,http://www.tukz.com/,http://twitter.com/TUKZunderwear,http://www.facebook.com/tukzunderwear,,,,Fashion,,1-10,01/09/2014,,,,,,-0.6,1.4,0.4
Ungalli,https://www.crunchbase.com/organization/ungalli,Design,"Canada, North America",Ungalli creates casual and active wear made from recycled plastic bottles.,"65,517",Operating,01/01/2014,,,http://www.ungalli.com/,http://twitter.com/ungalliclothing,http://www.facebook.com/ungalliclothingco,,,8076222000,Fashion,2,,01/01/2014,"$15,000","$15,000","$15,000","$15,000",1,-0.4,-0.5,-0.6
UpCouture,https://www.crunchbase.com/organization/upcouture,"Commerce and Shopping, Health Care, Design","Paris, Ile-de-France, France","UpCouture, a Fashion Innovation brand, has launched the Up T-shirt which pushes you to adopt a straight and relaxed posture all day long.",,Operating,01/01/2012,,,http://www.upcouture.com,http://twitter.com/upcouture,http://www.facebook.com/upcouture,,,,"Fashion, E-Commerce, Health Care",1,,,,,,,,-0.5,0.8,0.2
Vinspi,https://www.crunchbase.com/organization/vinspi,"Commerce and Shopping, Design","Melbourne, Victoria, Australia","Vinspi is an Australia-based online retailer of custom tailored menswear, including suits and shirts.","56,585",Operating,12/01/2011,,4,http://www.vinspi.com.au,http://twitter.com/vinspiau,http://www.facebook.com/vinspi,,info@vinspi.com.au,+61 3 9010 5406,"Fashion, E-Commerce",1,,04/01/2012,"$20,000","$20,000","$20,000","$20,000",1,-0.1,-0.3,-0.2
