Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Cognuse,https://www.crunchbase.com/organization/cognuse,Health Care,"San Diego, California, United States",Enabling the continuum of care for neurological and cardio respiratory conditions by involving everyone around the patient in the care loop.,"17,672",Operating,05/02/2014,,1,http://www.cognuse.com,http://twitter.com/cognuse,,http://www.linkedin.com/company/cognuse,info@cognuse.com,(858)255-1708,"Rehabilitation, Health Diagnostics, Health Care",3,1-10,12/27/2015,"$125,000","$125,000","$632,000","$699,000",2,-0.1,0.3,-0.2
CV-Sight,https://www.crunchbase.com/organization/cv-sight,Health Care,"Mansfield, Massachusetts, United States",CV-Sight provides cardiac revascularization solutions.,"43,496",Operating,01/01/2011,,,http://cv-sight.com,,,,,(855)287-4448,Health Care,,1-10,04/24/2012,"$2,500,000","$2,500,000","$2,500,000","$2,500,000",,0.1,0.6,1.6
DLC Distributors,https://www.crunchbase.com/organization/dlc-distributors,Health Care,"Largo, Florida, United States",DLC Distributors mission is to locate manufacturers and inventors who have unique and innovative medical equipment and/or devices.,,Operating,03/24/2014,,,,,,,,,Medical,,1-10,06/24/2014,,,,,,0.9,1.9,2.3
DoktorTakvimi.com,https://www.crunchbase.com/organization/doktortakvimi-com,Health Care,,Turkish branch of DocPlanner Group,,Operating,07/01/2014,,2,https://www.DoktorTakvimi.com,,http://www.facebook.com/Eniyihekim,,iletisim@eniyihekim.com,,Health Care,3,51-100,,,,,,,-0.2,0.0,1.7
dVisit,https://www.crunchbase.com/organization/dvisit,Health Care,"Nashville, Tennessee, United States",dvVisit is a healthcare-based mobile and web application that strengthen the connection between patient to doctor communication.,"49,219",Closed,01/01/2013,10/09/2015,1,http://www.dvisit.com,http://twitter.com/dVisitNow,http://www.facebook.com/dVisit,,hello@dVisit.com,615-906-1700,"Medical, Health Care",3,1-10,08/07/2013,"$15,000","$15,000","$15,000","$15,000",2,-0.1,-0.4,-0.4
ExplORer Surgical,https://www.crunchbase.com/organization/explorer-surgical,Health Care,"Chicago, Illinois, United States",ExplORer is an interactive surgical playbook that promotes optimal teamwork in the operating room.,"13,253",Operating,01/01/2015,,1,http://explorersurgical.com/,https://twitter.com/ExplORerSurg,https://www.facebook.com/exploretheor,https://www.linkedin.com/company/explorer-surgical,,,Health Care,1,1-10,09/13/2016,"$1,000,000","$1,000,000","$1,000,000","$1,000,000",5,-0.1,-0.6,
Healcloud,https://www.crunchbase.com/organization/healcloud,"Science and Engineering, Data and Analytics, Software, Health Care, Mobile","Vienna, Wien, Austria",Europe's leading healthcare big data enabler | real world evidence | clinical trials | patient management,"44,008",Operating,06/11/2015,,1,http://www.healcloud.com,,https://www.facebook.com/healcloud,https://www.linkedin.com/company/healcloud,,,"mHealth, Artificial Intelligence, Big Data, SaaS, Health Care",2,11-50,03/21/2016,"€1,000,000","€1,000,000","$1,303,819","$1,303,819",,2.1,2.4,
Healcon Labs,https://www.crunchbase.com/organization/healcon-labs,Health Care,"Gurgaon, Haryana, India",Healcon Labs is building health cloud for connected healthcare solutions in Indian healthcare industry.,,Operating,10/13/2012,,,http://healcon.com,http://twitter.com/healcon,http://www.facebook.com/HealCon,http://www.linkedin.com/company/HealCon,help@healcon.com,9999146464,Health Care,3,1-10,,,,,,,1.0,1.8,-0.6
Health Data Intelligence,https://www.crunchbase.com/organization/health-data-intelligence,Software,"Columbus, Ohio, United States",Health Data Intelligence (HDI) is an innovative healthcare analytics company.,"22,504",Was Acquired,01/01/2014,,1,http://healthdataintel.com/,https://twitter.com/healthdataintel,https://www.facebook.com/HealthDataIntel,https://www.linkedin.com/company/health-data-intelligence,Info@HealthDataIntel.com,(800) 585-0375,Software,1,1-10,09/02/2015,"$140,000","$140,000","$140,000","$140,000",2,-1.3,-2.5,2.3
JLC Veterinary Service,https://www.crunchbase.com/organization/jlc-veterinary-service,Health Care,"Austin, Texas, United States",JLC Veterinary Service is a new startup mixed animal ambulatory veterinary practice in the Austin/ Manor Texas area .,,Operating,09/01/2013,,,http://www.jlcveterinaryservice.com/,,http://www.facebook.com/pages/JLC-Veterinary-Service/235657343252590,,,+1 512-595-4093,Medical,,1-10,11/15/2013,,,,,,-0.5,0.0,-0.4
Liberate Medical,https://www.crunchbase.com/organization/liberate-medical,Health Care,"Louisville, Kentucky, United States",Using non-invasive respiratory muscle stimulation to reduce the cost and improve the quality of care for patients with pulmonary disorders,,Operating,02/01/2013,,,http://www.liberatemedical.com,http://twitter.com/liberatemed,http://www.facebook.com/liberatemedical,http://www.linkedin.com/company/2901768,info@liberatemedical.com,(502)403-3964,"Medical, Health Care",2,1-10,,,,,,,0.2,-0.2,-1.1
LindaCare,https://www.crunchbase.com/organization/lindacare,Health Care,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",LindaCare started off with the concrete frustrations of a nurse called Linda.,"75,875",Operating,01/01/2013,,,http://lindacare.com/,https://www.twitter.com/lindacaretweet,,https://www.linkedin.com/company/3490886?trk=prof-exp-company-name,info@lindacare.com,+32016661468,Health Care,1,1-10,12/04/2015,"€1,500,000","€1,500,000","$1,600,333","$1,600,333",1,0.1,-0.4,-0.6
Lung Institute,https://www.crunchbase.com/organization/lung-institute,Health Care,"Tampa, Florida, United States",Lung Institute provides stem cells' therapies.,"56,287",Operating,01/01/2013,,2,http://lunginstitute.com,http://twitter.com/lunginstitute,http://www.facebook.com/LungInstitute,http://www.linkedin.com/company/lung-institute,info@lunginstitute.com,855-469-5864,Health Care,,11-50,03/31/2015,"$232,000","$232,000","$232,000","$232,000",1,-0.2,1.1,0.7
Massive Bio,https://www.crunchbase.com/organization/massbio-2,"Information Technology, Health Care","New York, New York, United States","Massive Bio brings cancer genomics to the masses, to improve quality of care and minimize costs.","75,230",Operating,08/22/2014,,,http://massbio.io,https://www.twitter.com/massivebio,https://www.facebook.com/massivebio,https://www.linkedin.com/company/massive-bio,ckandoth@gmail.com,,"Medical, Health Care, Information Technology",,11-50,04/03/2015,,,,,,-0.1,0.2,-0.3
Medical Teknologix,https://www.crunchbase.com/organization/medical-teknologix,"Science and Engineering, Data and Analytics, Software, Health Care",,medical software,,Operating,12/13/2011,,,http://www.medicalteknologix.com,http://twitter.com/contactMedTek,,http://www.linkedin.com/company/medical-teknologix,contact@medicalteknologix.com,,"Image Recognition, Artificial Intelligence, Medical, Software",1,1-10,,,,,,,-0.8,-1.1,-1.6
MedicalMime,https://www.crunchbase.com/organization/medicalmime,"Information Technology, Software, Health Care, Internet Services","Brentwood, Tennessee, United States",Healthcare Information Technologies,,Operating,01/01/2012,,,http://www.medicalmime.com,,,,,615-844-6200,"Cloud Computing, Web Development, Medical, Enterprise Software, Health Care, Software, Information Technology",,11-50,,,,,,,1.0,-0.6,-1.2
Medisafe,https://www.crunchbase.com/organization/medisafe-project,"Information Technology, Software, Health Care, Internet Services, Mobile","Boston, Massachusetts, United States",Medisafe® is the leading Personalized Medication Management Platform helping patients stay on top of all their medications.,"3,425",Operating,08/16/2012,,48,http://www.medisafe.com,https://twitter.com/MedisafeApp,http://www.facebook.com/MedisafeProject,http://www.linkedin.com/company/medisafe-project,info@medisafe.com,+972 54-466-4242,"Cloud Computing, Mobile, Health Care, Software, Information Technology",2,11-50,01/07/2015,"$6,000,000","$6,000,000","$7,000,000","$7,000,000",10,-0.2,0.6,1.5
MedPAC Technologies,https://www.crunchbase.com/organization/medpac-technologies,"Information Technology, Health Care","Columbus, Ohio, United States",Web/mobile applications for Long-term and Post Acute Care.,"56,145",Operating,01/01/2012,,,http://medpactech.com/,http://twitter.com/medpactech,http://www.facebook.com/MedPACTech,http://www.linkedin.com/company/medpac-technologies-inc,media@medpactech.com,+1 (614) 918-7902,"Health Care, Information Technology",2,1-10,06/01/2013,"$100,000","$100,000","$100,000","$100,000",,-0.3,0.2,-0.1
Metabolomic Diagnostics,https://www.crunchbase.com/organization/metabolomic-diagnostics,"Biotechnology, Science and Engineering, Health Care","Cork, Cork, Ireland",Metabolomic Diagnostics is commercialising a diagnostic assay that predicts preeclampsia in pregnancy.,"72,927",Operating,01/01/2011,,,http://metabolomicdiagnostics.com,http://twitter.com/MetDX,http://www.facebook.com/Metabolomic-Diagnostics/3419172558,http://www.linkedin.com/company/3288046,info@metabolomicdiagnostics.com,353 2 145 10263,"Health Diagnostics, Biotechnology, Health Care",3,1-10,06/16/2016,"€1,600,000","€1,600,000","$4,781,060","$4,781,060",4,0.0,-0.2,-0.4
Nobl,https://www.crunchbase.com/organization/nobl,"Software, Health Care","Lincoln, Nebraska, United States","Nobl improves patient satisfaction by making the process of hourly rounding in hospitals more efficient, meaningful, and effective.","29,525",Operating,01/01/2012,,3,http://www.noblhealth.com,http://twitter.com/noblhealth,http://www.facebook.com/noblhealth,http://www.linkedin.com/company/nobl,info@noblhealth.com,1(888) 802-3204,"Health Care, Software, Professional Services",3,1-10,05/13/2015,"$700,280","$700,280","$870,280","$870,280",6,0.1,-0.2,-0.4
Novaerus,https://www.crunchbase.com/organization/novaerus,Health Care,"Chicago, Illinois, United States",Novaerus Improve the business and quality of care through the application of airborne pathogen control technology.,"16,163",Operating,01/01/2011,,3,http://www.novaerus.com/,https://twitter.com/Novaerus,https://www.facebook.com/Novaerus,https://www.linkedin.com/company/novaerus-inc-?trk=company_name,info@novaerus.com,(813)304-2468,"Health Diagnostics, Medical Device, Health Care",2,11-50,12/01/2015,,,"$10,000,000","$10,000,000",3,-0.5,-0.6,0.2
Orbita,https://www.crunchbase.com/organization/orbita,"Information Technology, Consumer Electronics, Real Estate, Software, Health Care, Internet Services",,Improving the lives ​of​ people with chronic care needs by empowering ​those​ who care ​for​ them,"15,502",Operating,04/02/2015,,4,http://www.orbitahealth.com,https://twitter.com/orbitahealth,,,hello@orbitahealth.com,1(617)804-5550,"Home Automation, Internet of Things, Health Care, Software, Information Technology",4,1-10,04/30/2015,"$1,700,000","$1,700,000","$1,700,000","$1,700,000",,0.1,-0.3,-0.6
Patriot Care,https://www.crunchbase.com/organization/patriot-care,Health Care,"Hardwick, Massachusetts, United States",Patriot Care provides access to alternative healthcare products.,,Operating,08/01/2013,,2,http://patriotcare.org,http://twitter.com/patriotcare,https://www.facebook.com/patriotcare,,,,Health Care,,1-10,,,,,,,-0.5,0.2,0.0
Prehos,https://www.crunchbase.com/organization/prehos,"Information Technology, Health Care, Mobile",,"Prehos covers the complete workflow of paramedics and EMS organizations to deliver faster, more effective services",,Operating,12/04/2014,,,http://www.prehos.com,https://twitter.com/prehosapps,https://www.facebook.com/prehos.apps/,https://www.linkedin.com/company/9439758,info@prehos.com,(418)353-1808,"mHealth, Medical, Health Care, Information Technology",2,11-50,,,,,,,-0.8,-0.8,-0.4
Rappora,https://www.crunchbase.com/organization/rappora,"Hardware, Health Care, Mobile","Austin, Texas, United States","Rappora automates care coordination for non-medical, private pay home care agencies.","73,103",Operating,09/01/2014,,,http://www.rappora.com,https://twitter.com/rapporahq,https://www.facebook.com/rapporahq,,hello@rappora.com,,"Communications Infrastructure, Mobile, SaaS, Health Care",,11-50,02/01/2016,,,,,,0.0,0.3,0.0
"Restore Medical Solutions, Inc.",https://www.crunchbase.com/organization/restore-medical-solutions-inc,Health Care,"Memphis, Tennessee, United States",Restore Medical Solutions manufactures a sterilization tray system that reduces the risk of infection from contaminated medical instruments.,"19,740",Operating,05/19/2012,,9,http://www.restore-med.com,http://twitter.com/RestoreMedical,,https://www.linkedin.com/company/restore-medical-solutions,info@restore-med.com,(855) 803-6889,"Medical, Health Care",2,1-10,07/09/2015,"$1,600,000","$1,600,000","$3,650,000","$3,650,000",6,0.1,1.6,1.8
RightCare Solutions,https://www.crunchbase.com/organization/rightcare-solutions,"Health Care, Financial Services","Horsham, Pennsylvania, United States",RightCare Solutions employs an evidence-based technology to help healthcare providers optimize their discharge planning process.,"13,969",Operating,04/18/2011,,10,http://www.rightcaresolutions.com,http://twitter.com/TeamRightCare,http://www.facebook.com/pages/RightCare-Solutions/524557050892157,http://www.linkedin.com/company/rightcare-solutions,info@rightcaresolutions.com,(855) 667-6627,"Hospital, Insurance, Health Care",1,11-50,09/16/2014,"$4,000,000","$4,000,000","$10,750,000","$10,750,000",7,-0.6,-0.7,-0.5
"RxCoup owned by MyMediaTones, Inc.",https://www.crunchbase.com/organization/rxcoup-owned-by-mymediatones-inc,"Commerce and Shopping, Health Care, Mobile",,Mobile co-pay coupon+crowdsourced Rx data app improves efficacy &adherence.Providers:Evidence Based Medicine+Save $290B non-adherence costs.,,Operating,01/01/2014,,,http://www.RxCoup.com,http://twitter.com/FriendCoup,http://www.facebook.com/FriendCoup,http://www.linkedin.com/pub/carl-kent/7/1bb/a88,,,"Coupons, Crowdsourcing, Mobile, Health Care",,1-10,,,,,,,0.5,0.1,-0.1
Shadow Health,https://www.crunchbase.com/organization/shadow-health,Health Care,"Gainesville, Florida, United States","Shadow Health provides a platform for medical, nursing and allied health students to engage in standardized simulated clinical experiences.","27,624",Operating,01/01/2011,,,http://shadowhealth.com,http://twitter.com/ShadowHealth,http://www.facebook.com/ShadowHealth,http://www.linkedin.com/company/shadow-health-inc,nfo@ShadowHealth.com,352-317-6504,Health Care,,101-250,02/24/2016,"$3,079,500","$3,079,500","$5,229,500","$5,229,500",,0.0,-0.1,-0.3
Silversheet,https://www.crunchbase.com/organization/silversheet,"Information Technology, Software, Health Care","Los Angeles, California, United States","Silversheet is revolutionizing how healthcare facilities manage their workforce, and how healthcare professionals manage their own careers.","5,679",Operating,01/01/2014,,6,https://www.silversheet.com,https://twitter.com/silversheet,https://www.facebook.com/silversheetHQ,https://www.linkedin.com/company/silversheet,hello@silversheet.com,(800) 279-1455,"Health Care, Software, Information Technology",3,1-10,03/30/2016,,,"$5,200,000","$5,200,000",9,-0.3,-1.2,0.2
Symptom.ly,https://www.crunchbase.com/organization/symptom-ly,"Information Technology, Health Care","Kansas City, Missouri, United States",Symptom.ly's clinically validated platform that allows physicians and insurers to manage their chronic disease population to reduce costs.,"32,022",Operating,08/01/2013,,6,http://www.symptom.ly,http://twitter.com/symptomly,http://www.facebook.com/symptomly,https://www.linkedin.com/company/symptom-ly,founders@symptom.ly,,"Health Care, Information Technology",1,1-10,06/12/2014,"$300,000","$300,000","$300,000","$300,000",,-0.1,-0.1,-0.5
SyTrue,https://www.crunchbase.com/organization/sytrue,"Data and Analytics, Software, Health Care, Internet Services","Chico, California, United States",Sytrue is a business and clinical intelligence platform provides clinical documentation data usability & interoperability.,"75,707",Operating,12/17/2012,,12,http://www.sytrue.com,http://twitter.com/sytrueinc,http://www.facebook.com/Sytrue.inc,http://www.linkedin.com/company/sytrue,info@sytrue.com,,"Semantic Search, Natural Language Processing, Machine Learning, Medical, Analytics, SaaS, Health Care",,11-50,,,,,,,0.1,-0.1,-0.4
TruMedicines Phone app to identify individual drug tablets,https://www.crunchbase.com/organization/trumedicines,"Apps, Navigation and Mapping, Information Technology, Data and Analytics, Software, Health Care, Internet Services, Privacy and Security, Mobile","Sammamish, Washington, United States",TruMedicines phone app track/trace/authenticate - Big Data for Big Pharma,"71,723",Operating,01/02/2013,,8,http://www.trumedicines.com/,http://twitter.com/trumedicines,https://www.facebook.com/TruMedicines/,https://www.linkedin.com/in/curved,david@trumedicines.com,(425) 985-9614,"Image Recognition, Geospatial, Pharmaceutical, Cloud Data Services, Machine Learning, Mobile Apps, Open Source, Software, Security",1,1-10,,,,,,,0.2,-0.1,-0.1
Verve Rehab,https://www.crunchbase.com/organization/verve-rehab,Health Care,"Schaumburg, Illinois, United States","Verve Rehab, Inc. a rehabilitative services staffing company (Verve Rehab Staffing) that provides Physical Therapists & Health Therapists.",,Operating,04/30/2015,,,http://ververehab.com,,https://www.facebook.com/ververehab,,,,"Medical, Health Care",,11-50,06/18/2015,,,,,,-0.9,-1.4,-1.7
Vigil Monitoring,https://www.crunchbase.com/organization/vigil-monitoring,Health Care,"Auckland, Auckland, New Zealand",Vigil is a privately owned New Zealand company founded in 2012,"34,779",Operating,01/01/2012,,,http://vigilmonitoring.com,http://twitter.com/vigilmonitoring,http://www.facebook.com/VigilMonitoring,http://www.linkedin.com/company/vigil-monitoring-ltd?goback=.npv_13772162,community@vigilmonitoring.com,(649) 972-9621,Health Care,,11-50,12/23/2014,"$3,800,000","$3,800,000","$8,300,000","$8,300,000",2,-0.1,-0.3,-0.3
xG Health Solutions,https://www.crunchbase.com/organization/xg-health-solutions,Health Care,"Columbia, Maryland, United States",Healthcare Transformation Services,"60,252",Operating,02/01/2013,,9,http://www.xghealth.com,http://twitter.com/xGHealth,,http://www.linkedin.com/company/xg-health-solutions,hbeer@xghealth.com,443-203-1079,Health Care,,51-100,,,,,,,-0.4,0.0,0.4
Yosko,https://www.crunchbase.com/organization/yosko,"Health Care, Mobile","New York, New York, United States",Mobile care coordination platform for hospitals,"20,335",Operating,01/01/2012,,10,https://www.yosko.com,http://twitter.com/yosko,,http://www.linkedin.com/company/yosko,info@yosko.com,,"mHealth, Medical, Mobile, Health Care",2,1-10,03/31/2016,"$100,000","$100,000","$100,000","$100,000",5,-0.3,-0.3,1.2
Zoeticx,https://www.crunchbase.com/organization/zoeticx,Health Care,"San Jose, California, United States",Zoetic offers a collaboration platform for the healthcare industry eliminating the gap between medical data and quality patient care.,"37,476",Operating,01/01/2011,,3,http://zoeticx.com,,,http://www.linkedin.com/company/3523093,,408-622-4757,Medical,,11-50,03/26/2012,"$580,000","$580,000","$580,000","$580,000",,-0.2,-0.2,-0.2
